#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 14:04:55.019
#Sample rate: 3.33333e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 15 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 0 V

Time (s),Channel 1 (V)
0.3928086293147932,0.4919670249328543
0.3928086593147931,0.4808645889273943
0.3928086893147931,0.4882662129263018
0.3928087193147932,0.4956678369356133
0.3928087493147931,0.4882662129322056
0.3928087793147931,0.4956678369358456
0.3928088093147932,0.4956678369336073
0.3928088393147932,0.4882662129352769
0.3928088693147931,0.4993686489407319
0.3928088993147931,0.510471084946192
0.3928089293147932,0.5104710849526275
0.3928089593147931,0.5067702729512803
0.3928089893147931,0.5178727089567404
0.3928090193147932,0.514171896961531
0.3928090493147932,0.517872708965596
0.3928090793147931,0.5289751449710509
0.3928091093147931,0.5215735209715426
0.3928091393147932,0.5363767689768133
0.3928091693147931,0.5289751449737083
0.3928091993147931,0.5326759569755266
0.3928092293147932,0.5326759569835576
0.3928092593147932,0.5400775809836501
0.3928092893147931,0.5363767689818301
0.3928093193147931,0.5474792049842221
0.3928093493147932,0.5511800170026914
0.3928093793147932,0.5622824530074345
0.3928094093147931,0.5622824530074345
0.3928094393147932,0.5622824530106254
0.3928094693147932,0.5659832650112017
0.3928094993147931,0.5659832650112017
0.3928095293147931,0.5548808290078621
0.3928095593147932,0.5659832650134484
0.3928095893147932,0.5696840770158624
0.3928096193147931,0.5807865130213226
0.3928096493147932,0.5770857010322523
0.3928096793147932,0.5881881370338047
0.3928097093147931,0.5881881370338047
0.3928097393147931,0.5992905730373259
0.3928097693147932,0.5844873250369544
0.3928097993147932,0.595589761042056
0.3928098293147931,0.6029913850456959
0.3928098593147932,0.6066921970559509
0.3928098893147932,0.6103930090632236
0.3928099193147931,0.6288970690723152
0.3928099493147931,0.6288970690752436
0.3928099793147932,0.6214954450748078
0.3928100093147932,0.6325978810794297
0.3928100393147931,0.6362986930812481
0.3928100693147932,0.6362986930895197
0.3928100993147932,0.6437003170917343
0.3928101293147931,0.6474011290935543
0.3928101593147931,0.6399995050914928
0.3928101893147932,0.6511019410978466
0.3928102193147932,0.6511019411002448
0.3928102493147931,0.6696060011093363
0.3928102793147931,0.6622043771159808
0.3928103093147932,0.6696060011122343
0.3928103393147931,0.6585035651067743
0.3928103693147931,0.6696060011094424
0.3928103993147932,0.6844092491242889
0.3928104293147932,0.6733068131215265
0.3928104593147931,0.6807084371251667
0.3928104893147931,0.691810873129213
0.3928105193147932,0.6881100611386047
0.3928105493147931,0.6955116851422414
0.3928105793147931,0.6955116851430525
0.3928106093147932,0.7029133091480406
0.3928106393147932,0.6992124971486171
0.3928106693147931,0.7103149331540771
0.3928106993147931,0.7140157451585915
0.3928107293147932,0.7214173691726303
0.3928107593147931,0.7288189931762671
