r_l	I(Rl)
Step Information: V_i=2.5 R_e=100  (Run: 1/4)
1.258925411794172e+000	4.221456e-002
1.584893192461119e+000	4.221445e-002
1.995262314968887e+000	4.221431e-002
2.511886431509589e+000	4.221414e-002
3.162277660168391e+000	4.221392e-002
3.981071705534987e+000	4.221364e-002
5.011872336272742e+000	4.221329e-002
6.309573444801957e+000	4.221284e-002
7.943282347242846e+000	4.221229e-002
1.000000000000004e+001	4.221158e-002
1.258925411794172e+001	4.221069e-002
1.584893192461120e+001	4.220957e-002
1.995262314968888e+001	4.220816e-002
2.511886431509591e+001	4.220637e-002
3.162277660168393e+001	4.220410e-002
3.981071705534990e+001	4.220122e-002
5.011872336272745e+001	4.219756e-002
6.309573444801961e+001	4.219289e-002
7.943282347242851e+001	4.218692e-002
1.000000000000005e+002	4.217926e-002
1.258925411794173e+002	4.216935e-002
1.584893192461121e+002	3.601145e-002
1.995262314968889e+002	2.877496e-002
2.511886431509593e+002	2.293773e-002
3.162277660168395e+002	1.826542e-002
3.981071705534993e+002	1.453558e-002
5.011872336272749e+002	1.156232e-002
6.309573444801965e+002	9.194301e-003
7.943282347242857e+002	7.309514e-003
1.000000000000005e+003	5.810036e-003
1.258925411794174e+003	4.617508e-003
1.584893192461122e+003	3.669343e-003
1.995262314968891e+003	2.915620e-003
2.511886431509594e+003	2.316557e-003
3.162277660168397e+003	1.840478e-003
3.981071705534995e+003	1.462172e-003
5.011872336272751e+003	1.161588e-003
6.309573444801968e+003	9.227740e-004
7.943282347242860e+003	7.330436e-004
1.000000000000000e+004	5.823297e-004
Step Information: V_i=2.5 R_e=200  (Run: 3/4)
1.000000000000000e-006	8.978430e-003
1.258925411794167e-006	8.978431e-003
1.584893192461113e-006	8.978430e-003
1.995262314968880e-006	8.978430e-003
2.511886431509580e-006	8.978431e-003
3.162277660168380e-006	8.978431e-003
3.981071705534973e-006	8.978430e-003
5.011872336272724e-006	8.978431e-003
6.309573444801935e-006	8.978431e-003
7.943282347242818e-006	8.978431e-003
1.000000000000000e-005	8.978431e-003
1.258925411794168e-005	8.978431e-003
1.584893192461115e-005	8.978431e-003
1.995262314968881e-005	8.978431e-003
2.511886431509582e-005	8.978431e-003
3.162277660168382e-005	8.978431e-003
3.981071705534976e-005	8.978431e-003
5.011872336272727e-005	8.978431e-003
6.309573444801939e-005	8.978431e-003
7.943282347242823e-005	8.978431e-003
1.000000000000001e-004	8.978431e-003
1.258925411794169e-004	8.978431e-003
1.584893192461116e-004	8.978431e-003
1.995262314968882e-004	8.978431e-003
2.511886431509584e-004	8.978431e-003
3.162277660168384e-004	8.978431e-003
3.981071705534979e-004	8.978431e-003
5.011872336272731e-004	8.978431e-003
6.309573444801943e-004	8.978431e-003
7.943282347242828e-004	8.978431e-003
1.000000000000002e-003	8.978431e-003
1.258925411794169e-003	8.978431e-003
1.584893192461117e-003	8.978431e-003
1.995262314968883e-003	8.978431e-003
2.511886431509585e-003	8.978431e-003
3.162277660168385e-003	8.978431e-003
3.981071705534980e-003	8.978431e-003
5.011872336272732e-003	8.978431e-003
6.309573444801944e-003	8.978431e-003
7.943282347242829e-003	8.978431e-003
1.000000000000002e-002	8.978431e-003
1.258925411794170e-002	8.978431e-003
1.584893192461117e-002	8.978431e-003
1.995262314968884e-002	8.978431e-003
2.511886431509586e-002	8.978430e-003
3.162277660168387e-002	8.978430e-003
3.981071705534982e-002	8.978430e-003
5.011872336272736e-002	8.978430e-003
6.309573444801950e-002	8.978430e-003
7.943282347242837e-002	8.978429e-003
1.000000000000003e-001	8.978429e-003
1.258925411794171e-001	8.978428e-003
1.584893192461118e-001	8.978427e-003
1.995262314968886e-001	8.978426e-003
2.511886431509588e-001	8.978426e-003
3.162277660168389e-001	8.978425e-003
3.981071705534985e-001	8.978423e-003
5.011872336272739e-001	8.978420e-003
6.309573444801954e-001	8.978417e-003
7.943282347242842e-001	8.978414e-003
1.000000000000003e+000	8.978410e-003
1.258925411794172e+000	8.978404e-003
1.584893192461119e+000	8.978397e-003
1.995262314968887e+000	8.978388e-003
2.511886431509589e+000	8.978377e-003
3.162277660168391e+000	8.978363e-003
3.981071705534987e+000	8.978345e-003
5.011872336272742e+000	8.978323e-003
6.309573444801957e+000	8.978294e-003
7.943282347242846e+000	8.978260e-003
1.000000000000004e+001	8.978215e-003
1.258925411794172e+001	8.978159e-003
1.584893192461120e+001	8.978088e-003
1.995262314968888e+001	8.977999e-003
2.511886431509591e+001	8.977887e-003
3.162277660168393e+001	8.977746e-003
3.981071705534990e+001	8.977568e-003
5.011872336272745e+001	8.977343e-003
6.309573444801961e+001	8.977060e-003
7.943282347242851e+001	8.976704e-003
