time	V(vo)	V(n003)
Step Information: R_e=220  (Run: 1/2)
1.604122499927624e-004	1.683858e+000	-9.128119e-003
1.627559999927625e-004	1.804966e+000	-1.077583e-002
1.652950624927626e-004	1.901221e+000	-1.229662e-002
1.678341249927626e-004	1.960943e+000	-1.350511e-002
1.703731874927627e-004	1.983924e+000	-1.437060e-002
1.729122499927628e-004	1.969824e+000	-1.487113e-002
1.754513124927628e-004	1.918122e+000	-1.499397e-002
1.777950624927629e-004	1.836450e+000	-1.476928e-002
1.801388124927630e-004	1.721635e+000	-1.422488e-002
1.822872499927630e-004	1.586925e+000	-1.345493e-002
1.844356874927631e-004	1.423961e+000	-1.244018e-002
1.863888124927632e-004	1.251577e+000	-1.132069e-002
1.883419374927632e-004	1.056804e+000	-1.003093e-002
1.900997499927633e-004	8.633518e-001	-8.740549e-003
1.916622499927633e-004	6.780401e-001	-7.503605e-003
1.932247499927634e-004	4.814405e-001	-6.194397e-003
1.945919374927634e-004	3.013707e-001	-4.999458e-003
1.955684999927634e-004	1.688667e-001	-4.122832e-003
1.963497499927634e-004	6.092269e-002	-3.410198e-003
1.965450624927634e-004	3.370350e-002	-3.230688e-003
1.967403749927635e-004	6.400128e-003	-3.050692e-003
1.971309999927635e-004	-4.843994e-002	-2.689348e-003
1.983028749927635e-004	-2.144743e-001	-1.596473e-003
1.998653749927635e-004	-4.378409e-001	-1.268796e-004
2.000000000000000e-004	-4.571145e-001	1.929747e-017
Step Information: R_e=680  (Run: 2/2)
0.000000000000000e+000	9.618233e-004	0.000000e+000
1.953124944761853e-012	1.306695e-003	1.840777e-009
3.906249889523705e-012	1.421360e-003	3.681554e-009
7.812499779047410e-012	1.370798e-003	7.363107e-009
1.562499955809482e-011	1.220013e-003	1.472621e-008
3.124999911618964e-011	1.104750e-003	2.945243e-008
6.249999823237928e-011	1.054270e-003	5.890486e-008
1.249999964647586e-010	9.911208e-004	1.178097e-007
2.499999929295171e-010	9.355200e-004	2.356194e-007
4.999999858590343e-010	8.789601e-004	4.712389e-007
9.999999717180685e-010	8.045151e-004	9.424778e-007
1.999999943436137e-009	6.943738e-004	1.884956e-006
3.999999886872274e-009	5.332542e-004	3.769911e-006
7.999999773744548e-009	2.622659e-004	7.539822e-006
2.559999927598256e-007	-1.585756e-002	2.412639e-004
1.037249992759826e-006	-6.710543e-002	9.768932e-004
2.599749992759826e-006	-1.713669e-001	2.439325e-003
5.724749992759824e-006	-3.824086e-001	5.279855e-003
8.459124992759823e-006	-5.620464e-001	7.602437e-003
1.060756249275983e-005	-6.938513e-001	9.273497e-003
1.256068749275983e-005	-8.024753e-001	1.064697e-002
1.451381249275984e-005	-8.971408e-001	1.186030e-002
1.646693749275983e-005	-9.749728e-001	1.289524e-002
1.822474999275982e-005	-1.028626e+000	1.366124e-002
1.998256249275981e-005	-1.065338e+000	1.426076e-002
2.174037499275980e-005	-1.084215e+000	1.468650e-002
2.349818749275979e-005	-1.084850e+000	1.493327e-002
2.525599999275978e-005	-1.067338e+000	1.499806e-002
2.701381249275977e-005	-1.032259e+000	1.488008e-002
2.896693749275976e-005	-9.739502e-001	1.453647e-002
3.092006249275975e-005	-8.972286e-001	1.397421e-002
3.287318749275974e-005	-8.045706e-001	1.320176e-002
3.502162499275972e-005	-6.876197e-001	1.212326e-002
3.736537499275971e-005	-5.466931e-001	1.069594e-002
3.990443749275969e-005	-3.843040e-001	8.889484e-003
4.263881249275968e-005	-2.053046e-001	6.693032e-003
4.459193749275967e-005	-7.872328e-002	4.999458e-003
4.537318749275966e-005	-2.898994e-002	4.299505e-003
