#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 12:23:23.540
#Sample rate: 63979.5Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 2 (V)
-0.08220132589674406,-4.611039980457549
-0.08218569589674404,-4.592208784034197
-0.08217006589674405,-4.588442544749523
-0.08215443589674404,-4.569611348326176
-0.08213880589674405,-4.56584510904151
-0.08212317589674403,-4.547013912618162
-0.08210754589674404,-4.543247673333497
-0.08209191589674406,-4.528182716194833
-0.08207628589674404,-4.516883998340814
-0.08206065589674405,-4.509351519771484
-0.08204502589674403,-4.498052801917465
-0.08202939589674405,-4.48675408406347
-0.08201376589674406,-4.475455366209469
-0.08199813589674404,-4.467922887640121
-0.08198250589674405,-4.449091691216795
-0.08196687589674403,-4.4453254519321
-0.08195124589674405,-4.426494255508774
-0.08193561589674406,-4.418961776939438
-0.08191998589674404,-4.407663059085422
-0.08190435589674405,-4.396364341231426
-0.08188872589674404,-4.385065623377403
-0.08187309589674405,-4.370000666238743
-0.08185746589674406,-4.366234426954072
-0.08184183589674404,-4.351169469815392
-0.08182620589674405,-4.33610451267673
-0.08181057589674404,-4.32480579482271
-0.08179494589674405,-4.31350707696871
-0.08177931589674406,-4.302208359114713
-0.08176368589674404,-4.287143401976024
-0.08174805589674405,-4.279610923406693
-0.08173242589674404,-4.268312205552681
-0.08171679589674405,-4.257013487698679
-0.08170116589674403,-4.245714769844665
-0.08168553589674404,-4.238182291275334
-0.08166990589674405,-4.219351094852004
-0.08165427589674404,-4.215584855567318
-0.08163864589674405,-4.196753659143984
-0.08162301589674403,-4.189221180574634
-0.08160738589674404,-4.181688702005304
-0.08159175589674406,-4.159091266297309
-0.08157612589674404,-4.162857505581957
-0.08156049589674405,-4.140260069873965
-0.08154486589674403,-4.136493830589268
-0.08152923589674405,-4.121428873450608
-0.08151360589674406,-4.11389639488127
-0.08149797589674404,-4.09506519845792
-0.08148234589674405,-4.091298959173255
-0.08146671589674404,-4.072467762749905
-0.08145108589674405,-4.064935284180574
-0.08143545589674406,-4.057402805611244
-0.08141982589674404,-4.03857160918789
-0.08140419589674405,-4.042337848472554
-0.08138856589674404,-4.019740412764546
-0.08137293589674405,-4.012207934195212
-0.08135730589674406,-3.997142977056554
-0.08134167589674404,-3.993376737771865
-0.08132604589674405,-3.970779302063874
-0.08131041589674404,-3.967013062779184
-0.08129478589674405,-3.94818186635585
-0.08127915589674406,-3.944415627071177
-0.08126352589674404,-3.933116909217172
-0.08124789589674405,-3.918051952078506
-0.08123226589674404,-3.914285712793823
-0.08121663589674405,-3.895454516370487
-0.08120100589674403,-3.891688277085802
-0.08118537589674404,-3.872857080662475
-0.08116974589674406,-3.865324602093136
-0.08115411589674404,-3.850259644954455
-0.08113848589674405,-3.84649340566979
-0.08112285589674403,-3.827662209246436
-0.08110722589674405,-3.812597252107774
-0.08109159589674406,-3.808831012823102
-0.08107596589674404,-3.793766055684424
-0.08106033589674405,-3.786233577115093
-0.08104470589674403,-3.771168619976407
-0.08102907589674405,-3.759869902122412
-0.08101344589674406,-3.748571184268415
-0.08099781589674404,-3.737272466414394
-0.08098218589674405,-3.725973748560398
-0.08096655589674404,-3.714675030706377
-0.08095092589674405,-3.703376312852381
-0.08093529589674406,-3.692077594998385
-0.08091966589674404,-3.680778877144363
-0.08090403589674405,-3.669480159290367
-0.08088840589674404,-3.66194768072102
-0.08087277589674405,-3.646882723582352
-0.08085714589674406,-3.639350245013018
-0.08084151589674404,-3.620519048589665
-0.08082588589674405,-3.609220330735668
-0.08081025589674404,-3.605454091450989
-0.08079462589674405,-3.582856655742987
-0.08077899589674403,-3.586622895027634
-0.08076336589674404,-3.560259220034977
-0.08074773589674406,-3.560259220034965
-0.08073210589674404,-3.54519426289629
-0.08071647589674405,-3.541428023611624
-0.08070084589674403,-3.522596827188273
-0.08068521589674404,-3.511298109334277
-0.08066958589674406,-3.499999391480271
-0.08065395589674404,-3.488700673626256
-0.08063832589674405,-3.481168195056926
-0.08062269589674405,-3.462336998633579
-0.08060706589674405,-3.45857075934891
-0.08059143589674404,-3.443505802210235
-0.08057580589674404,-3.439739562925553
-0.08056017589674405,-3.40960964864823
-0.08054454589674405,-3.405843409363548
-0.08052891589674405,-3.379479734370867
-0.08051328589674404,-3.360648537947524
-0.08049765589674404,-3.326752384385488
-0.08048202589674405,-3.289089991538836
-0.08046639589674404,-3.255193837976776
-0.08045076589674405,-3.202466487991439
-0.08043513589674404,-3.14220665943674
-0.08041950589674404,-3.066881873743333
-0.08040387589674405,-2.995323327334692
-0.08038824589674404,-2.90869982378724
-0.08037261589674405,-2.8220763202399
-0.08035698589674405,-2.727920338123182
-0.08034135589674404,-2.61869939886779
-0.08032572589674405,-2.532075895320449
-0.08031009589674404,-2.407789998926298
-0.08029446589674405,-2.309867777524957
-0.08027883589674405,-2.18558188113089
-0.08026320589674404,-2.083893420444835
-0.08024757589674406,-1.959607524050824
-0.08023194589674404,-1.842854106225985
-0.08021631589674405,-1.726100688401361
-0.08020068589674405,-1.601814792007241
-0.08018505589674405,-1.48882761346718
-0.08016942589674406,-1.357009238503836
-0.08015379589674404,-1.251554538532987
-0.08013816589674405,-1.108437445715707
-0.08012253589674405,-0.9954502671755806
-0.08010690589674405,-0.8636318922121762
-0.08009127589674404,-0.7393459958181091
-0.08007564589674404,-0.615060099423982
-0.08006001589674405,-0.4832417244606975
-0.08004438589674405,-0.3627220673512391
-0.08002875589674405,-0.2233712138184973
-0.08001312589674404,-0.1103840352784363
-0.07999749589674404,0.03273305753902569
-0.07998186589674405,0.1457202360789839
-0.07996623589674404,0.2888373288964989
-0.07995060589674405,0.4055907467211756
-0.07993497589674405,0.5411753609692487
-0.07991934589674404,0.6616950180786472
-0.07990371589674405,0.7972796323266587
-0.07988808589674404,0.9290980072901813
-0.07987245589674405,1.053383903684192
-0.07985682589674405,1.196500996501602
-0.07984119589674404,1.313254414326332
-0.07982556589674406,1.460137746428344
-0.07980993589674404,1.576891164253208
-0.07979430589674405,1.723774496355154
-0.07977867589674405,1.851826632033956
-0.07976304589674404,1.983645006997361
-0.07974741589674406,2.115463381960705
-0.07973178589674404,2.23598303907023
-0.07971615589674405,2.382866371172176
-0.07970052589674405,2.499619788996973
-0.07968489589674405,2.650269360383721
-0.07966926589674404,2.759490299639113
-0.07965363589674404,2.913906110310584
-0.07963800589674405,3.034425767419873
-0.07962237589674405,3.170010381668001
-0.07960674589674405,3.298062517346737
-0.07959111589674404,3.43364713159481
-0.07957548589674404,3.569231745842939
-0.07955985589674405,3.693517642236893
-0.07954422589674404,3.840400974339084
-0.07952859589674405,3.960920631448428
-0.07951296589674405,4.111570202835176
-0.07949733589674404,4.21702490280597
-0.07948170589674405,4.371440713477246
-0.07946607589674404,4.488194131302112
-0.07945044589674405,4.635077463404126
-0.07943481589674405,4.770662077652198
-0.07941918589674404,4.898714213330934
-0.07940355589674405,5.038065066863613
-0.07938792589674404,5.154818484688476
-0.07937229589674405,5.309234295359823
-0.07935666589674405,5.418455234615215
-0.07934103589674404,5.569104806001962
-0.07932540589674406,5.689624463111306
-0.07930977589674404,5.836507795213499
-0.07929414589674405,5.964559930892118
-0.07927851589674405,6.10014454514025
-0.07926288589674405,6.235729159388322
-0.07924725589674406,6.367547534351667
-0.07923162589674404,6.506898387884524
-0.07921599589674405,6.627418044993812
-0.07920036589674405,6.778067616380615
-0.07918473589674405,6.891054794920676
-0.07916910589674404,7.037938127022755
-0.07915347589674404,7.162224023416889
-0.07913784589674405,7.309107355518835
-0.07912221589674405,7.4296270126283
-0.07910658589674405,7.565211626876374
-0.07909095589674404,7.715861198263122
-0.07907532589674404,7.832614616087922
-0.07905969589674405,7.987030426759198
-0.07904406589674404,8.100017605299399
-0.07902843589674405,8.254433415970745
-0.07901280589674405,8.371186833795475
-0.07899717589674404,8.510537687328217
-0.07898154589674405,8.638589823006894
-0.07896591589674404,8.777940676539757
-0.07895028589674405,8.913525290787767
-0.07893465589674405,9.037811187181834
-0.07891902589674404,9.184694519283914
-0.07890339589674406,9.305214176393257
-0.07888776589674404,9.452097508495445
-0.07887213589674405,9.568850926320069
-0.07885650589674405,9.71950049770687
-0.07884087589674404,9.8362539155316
-0.07882524589674406,9.983137247633611
-0.07880961589674404,10.10742314402781
-0.07879398589674405,10.25054023684509
-0.07877835589674405,10.37859237252389
-0.07876272589674405,10.5104107474873
-0.07874709589674404,10.62716416531203
-0.07873146589674404,10.63093040459669
-0.07871583589674405,10.62716416531203
-0.07870020589674405,10.62339792602736
-0.07868457589674405,10.61963168674269
-0.07866894589674404,10.61586544745802
-0.07865331589674404,10.61209920817335
-0.07863768589674405,10.61209920817335
-0.07862205589674404,10.60833296888868
-0.07860642589674405,10.60456672960401
-0.07859079589674405,10.60080049031935
-0.07857516589674404,10.59703425103467
-0.07855953589674405,10.59326801175001
-0.07854390589674404,10.58950177246534
-0.07852827589674405,10.58573553318067
-0.07851264589674405,10.57820305461133
-0.07849701589674404,10.57820305461133
-0.07848138589674405,10.570670576042
-0.07846575589674404,10.56690433675733
-0.07845012589674405,10.56690433675733
-0.07843449589674405,10.56313809747266
-0.07841886589674404,10.55937185818799
-0.07840323589674406,10.55560561890332
