time	V(vo)	V(n003)
Step Information: R_e=220  (Run: 1/2)
3.697486008571734e-004	1.970078e+000	-1.419085e-002
3.715698634326393e-004	1.972423e+000	-1.465297e-002
3.732008236686937e-004	1.956782e+000	-1.490426e-002
3.748399193093856e-004	1.925063e+000	-1.499924e-002
3.764404992777980e-004	1.876865e+000	-1.493860e-002
3.788443564324859e-004	1.770154e+000	-1.456453e-002
3.827364165285969e-004	1.514713e+000	-1.326247e-002
3.889081702519954e-004	9.237505e-001	-9.627886e-003
3.980763963272818e-004	-2.046561e-001	-1.808543e-003
4.056892976273238e-004	-1.211675e+000	5.248567e-003
4.098976713248677e-004	-1.703880e+000	8.738574e-003
4.134327369291849e-004	-2.009453e+000	1.120964e-002
4.166406480837751e-004	-2.176939e+000	1.297810e-002
4.200652024519447e-004	-2.241661e+000	1.428472e-002
4.224304481034182e-004	-2.216037e+000	1.480493e-002
4.242683816698441e-004	-2.148581e+000	1.498415e-002
4.262279091429735e-004	-2.034907e+000	1.495538e-002
4.284986620417812e-004	-1.854257e+000	1.463903e-002
4.321792740300070e-004	-1.478323e+000	1.349961e-002
4.370334681093281e-004	-8.903661e-001	1.091291e-002
4.426298845557107e-004	-1.658499e-001	6.700561e-003
4.495738449415514e-004	6.582745e-001	4.015937e-004
4.584703171498584e-004	1.485988e+000	-7.611529e-003
4.638914441247722e-004	1.819275e+000	-1.149221e-002
4.673774051774847e-004	1.935178e+000	-1.331225e-002
4.698273655855134e-004	1.970331e+000	-1.421473e-002
4.716285910513088e-004	1.971827e+000	-1.466471e-002
4.732737539118734e-004	1.955659e+000	-1.491185e-002
4.747929414814062e-004	1.926104e+000	-1.499873e-002
4.764230365155992e-004	1.877063e+000	-1.494008e-002
4.788159658622617e-004	1.771327e+000	-1.457091e-002
4.826907017075461e-004	1.517939e+000	-1.328254e-002
4.888370399172264e-004	9.312274e-001	-9.679196e-003
4.979765032127376e-004	-1.796403e-001	-1.901967e-003
5.000000000000000e-004	-4.562421e-001	-1.836970e-017
Step Information: R_e=680  (Run: 2/2)
0.000000000000000e+000	9.618233e-004	0.000000e+000
9.999999717180685e-010	8.224648e-004	9.424778e-007
1.999999943436137e-009	7.100101e-004	1.884956e-006
3.999999886872274e-009	5.406407e-004	3.769911e-006
7.999999773744548e-009	2.626959e-004	7.539822e-006
3.199999909497819e-008	-1.294772e-003	3.015927e-005
2.559999927598256e-007	-1.586000e-002	2.412639e-004
5.119999855196511e-007	-3.260110e-002	4.824654e-004
1.023999971039302e-006	-6.635182e-002	9.644315e-004
4.095999884157209e-006	-2.718095e-001	3.817915e-003
8.191999768314418e-006	-5.306270e-001	7.384348e-003
1.484501355282485e-005	-8.909538e-001	1.204882e-002
1.803250023467059e-005	-1.014976e+000	1.358542e-002
2.030343078931049e-005	-1.065735e+000	1.435162e-002
2.198454622223801e-005	-1.082294e+000	1.473157e-002
2.370241545303401e-005	-1.079137e+000	1.495017e-002
2.601680894545753e-005	-1.048568e+000	1.496940e-002
2.815525432005819e-005	-9.925590e-001	1.470619e-002
3.162479809474332e-005	-8.491925e-001	1.371918e-002
3.716811802189642e-005	-5.448245e-001	1.082546e-002
4.559020791463388e-005	-4.481269e-002	4.103157e-003
5.670880345970465e-005	5.293108e-001	-6.137308e-003
6.284169464713406e-005	7.523447e-001	-1.083186e-002
6.667044543799493e-005	8.363734e-001	-1.299216e-002
6.931874186093021e-005	8.709932e-001	-1.405443e-002
7.125022878660141e-005	8.848144e-001	-1.458560e-002
7.280334824784681e-005	8.889154e-001	-1.485736e-002
7.447301612847107e-005	8.865485e-001	-1.499178e-002
7.630406936018283e-005	8.760315e-001	-1.494968e-002
7.862252377884112e-005	8.494525e-001	-1.461313e-002
8.237902074704984e-005	7.739056e-001	-1.341648e-002
8.835106670806134e-005	5.729300e-001	-1.002453e-002
