#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 12:18:07.270
#Sample rate: 63979.5Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 2 (V)
-0.08219881687042827,-4.592208784034188
-0.08218318687042826,-4.57714382689552
-0.08216755687042826,-4.569611348326176
-0.08215192687042826,-4.55831263047217
-0.08213629687042825,-4.54324767333349
-0.08212066687042825,-4.531948955479486
-0.08210503687042826,-4.524416476910155
-0.08208940687042826,-4.513117759056145
-0.08207377687042826,-4.498052801917471
-0.08205814687042826,-4.494286562632802
-0.08204251687042825,-4.475455366209455
-0.08202688687042826,-4.467922887640125
-0.08201125687042826,-4.456624169786116
-0.08199562687042826,-4.445325451932109
-0.08197999687042826,-4.434026734078103
-0.08196436687042825,-4.422728016224093
-0.08194873687042827,-4.415195537654763
-0.08193310687042826,-4.396364341231425
-0.08191747687042826,-4.388831862662078
-0.08190184687042826,-4.370000666238735
-0.08188621687042826,-4.37376690552339
-0.08187058687042825,-4.343636991246056
-0.08185495687042826,-4.347403230530722
-0.08183932687042826,-4.328572034107379
-0.08182369687042826,-4.328572034107379
-0.08180806687042826,-4.305974598399367
-0.08179243687042825,-4.298442119830023
-0.08177680687042826,-4.283377162691362
-0.08176117687042826,-4.275844684122018
-0.08174554687042826,-4.264545966268011
-0.08172991687042826,-4.241948530559999
-0.08171428687042825,-4.245714769844658
-0.08169865687042825,-4.223117334136655
-0.08168302687042826,-4.223117334136655
-0.08166739687042826,-4.204286137713312
-0.08165176687042826,-4.200519898428643
-0.08163613687042826,-4.177922462720631
-0.08162050687042825,-4.174156223435956
-0.08160487687042826,-4.159091266297295
-0.08158924687042826,-4.155325027012619
-0.08157361687042826,-4.140260069873944
-0.08155798687042826,-4.121428873450601
-0.08154235687042825,-4.117662634165925
-0.08152672687042826,-4.102597677027265
-0.08151109687042826,-4.095065198457924
-0.08149546687042826,-4.076234002034576
-0.08147983687042826,-4.072467762749908
-0.08146420687042825,-4.053636566326563
-0.08144857687042825,-4.049870327041888
-0.08143294687042826,-4.034805369903228
-0.08141731687042826,-4.027272891333883
-0.08140168687042826,-4.015974173479878
-0.08138605687042826,-4.004675455625871
-0.08137042687042825,-3.997142977056525
-0.08135479687042826,-3.978311780633199
-0.08133916687042826,-3.967013062779184
-0.08132353687042826,-3.959480584209847
-0.08130790687042826,-3.948181866355841
-0.08129227687042825,-3.940649387786497
-0.08127664687042827,-3.925584430647836
-0.08126101687042826,-3.918051952078495
-0.08124538687042826,-3.899220755655148
-0.08122975687042826,-3.895454516370479
-0.08121412687042825,-3.880389559231801
-0.08119849687042825,-3.872857080662458
-0.08118286687042826,-3.854025884239132
-0.08116723687042826,-3.850259644954455
-0.08115160687042826,-3.83519468781578
-0.08113597687042826,-3.823895969961774
-0.08112034687042825,-3.808831012823093
-0.08110471687042826,-3.797532294969098
-0.08108908687042826,-3.793766055684424
-0.08107345687042826,-3.771168619976412
-0.08105782687042826,-3.771168619976412
-0.08104219687042825,-3.748571184268398
-0.08102656687042827,-3.744804944983733
-0.08101093687042826,-3.725973748560396
-0.08099530687042826,-3.722207509275719
-0.08097967687042826,-3.710908791421713
-0.08096404687042826,-3.695843834283036
-0.08094841687042825,-3.692077594998361
-0.08093278687042826,-3.673246398575035
-0.08091715687042826,-3.669480159290357
-0.08090152687042826,-3.650648962867014
-0.08088589687042826,-3.650648962867014
-0.08087026687042825,-3.620519048589666
-0.08085463687042826,-3.624285287874331
-0.08083900687042826,-3.601687852166321
-0.08082337687042826,-3.601687852166321
-0.08080774687042826,-3.579090416458309
-0.08079211687042825,-3.575324177173634
-0.08077648687042825,-3.564025459319627
-0.08076085687042826,-3.548960502180966
-0.08074522687042826,-3.54519426289629
-0.08072959687042826,-3.518830587903609
-0.08071396687042826,-3.515064348618941
-0.08069833687042825,-3.499999391480262
-0.08068270687042826,-3.492466912910932
-0.08066707687042826,-3.481168195056922
-0.08065144687042826,-3.469869477202916
-0.08063581687042826,-3.45857075934891
-0.08062018687042825,-3.447272041494903
-0.08060455687042825,-3.443505802210227
-0.08058892687042825,-3.424674605786887
-0.08057329687042826,-3.413375887932886
-0.08055766687042826,-3.394544691509542
-0.08054203687042825,-3.383245973655524
-0.08052640687042825,-3.356882298662847
-0.08051077687042825,-3.3380511022395
-0.08049514687042826,-3.311687427246831
-0.08047951687042826,-3.266492555830807
-0.08046388687042826,-3.228830162984119
-0.08044825687042825,-3.172336573714065
-0.08043262687042825,-3.119609223728693
-0.08041699687042826,-3.044284438035353
-0.08040136687042826,-2.976492130911317
-0.08038573687042826,-2.886102388079268
-0.08037010687042825,-2.795712645247178
-0.08035447687042825,-2.705322902415117
-0.08033884687042825,-2.588569484590403
-0.08032321687042826,-2.505712220327729
-0.08030758687042826,-2.377660084648993
-0.08029195687042825,-2.283504102532219
-0.08027632687042825,-2.159218206138163
-0.08026069687042825,-2.057529745452098
-0.08024506687042826,-1.933243849058087
-0.08022943687042826,-1.816490431233357
-0.08021380687042826,-1.699737013408627
-0.08019817687042825,-1.575451117014511
-0.08018254687042825,-1.466230177759106
-0.08016691687042826,-1.330645563511095
-0.08015128687042826,-1.221424624255703
-0.08013565687042826,-1.082073770722961
-0.08012002687042825,-0.980385310036839
-0.08010439687042825,-0.833501977934777
-0.08008876687042825,-0.7242810386793727
-0.08007313687042826,-0.5886964244313611
-0.08005750687042826,-0.464410528037294
-0.08004187687042826,-0.3363583923585582
-0.08002624687042825,-0.2045400173950989
-0.08001061687042825,-0.08402036028569029
-0.07999498687042826,0.05909673253165521
-0.07997935687042826,0.1720839110717162
-0.07996372687042826,0.3152010038891268
-0.07994809687042825,0.4281881824292512
