#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-11-30 11:53:47.807
#Sample rate: 63979.5Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 50 Hz
#Period: 20 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 2 (V)
-0.08083822537042826,-0.6338912958473855
-0.08082259537042825,-0.6225925779933794
-0.08080696537042825,-0.6112938601393733
-0.08079133537042825,-0.5999951422853621
-0.08077570537042825,-0.5886964244313559
-0.08076007537042826,-0.5773977065773601
-0.08074444537042826,-0.5660989887233489
-0.08072881537042825,-0.5548002708693428
-0.08071318537042825,-0.5435015530153366
-0.08069755537042825,-0.5284365958766568
-0.08068192537042826,-0.5171378780226609
-0.08066629537042826,-0.5058391601686497
-0.08065066537042825,-0.4907742030299749
-0.08063503537042825,-0.4794754851759688
-0.08061940537042826,-0.4681767673219679
-0.08060377537042826,-0.4568780494679618
-0.08058814537042826,-0.4455793316139557
-0.08057251537042825,-0.4342806137599444
-0.08055688537042825,-0.4229818959059383
-0.08054125537042826,-0.4079169387672704
-0.08052562537042826,-0.3966182209132626
-0.08050999537042826,-0.3815532637745895
-0.08049436537042826,-0.3740207852052452
-0.08047873537042825,-0.3627220673512391
-0.08046310537042825,-0.351423349497233
-0.08044747537042826,-0.3438908709278991
-0.08043184537042826,-0.3288259137892277
-0.08041621537042826,-0.3175271959352147
-0.08040058537042825,-0.3062284780812086
-0.08038495537042825,-0.2911635209425338
-0.08036932537042826,-0.2798648030885329
-0.08035369537042826,-0.2685660852345268
-0.08033806537042826,-0.2535011280958537
-0.08032243537042826,-0.2422024102418407
-0.08030680537042825,-0.2309036923878346
-0.08029117537042826,-0.2196049745338337
-0.08027554537042826,-0.2120724959644946
-0.08025991537042826,-0.2007737781104902
-0.08024428537042826,-0.1894750602564789
-0.08022865537042825,-0.1744101031178042
-0.08021302537042825,-0.1631113852637981
-0.08019739537042826,-0.1518126674097971
