Freq.	V(vo)
Step Information: R_e=220  (Run: 1/2)
7.87932424540746e+004	(7.13170535448715e+000dB,-1.77774997511854e+002°)
8.44485062894652e+004	(7.13257583654690e+000dB,-1.77930721851384e+002°)
9.05096679918780e+004	(7.13333367335180e+000dB,-1.78076536774169e+002°)
9.70058602566654e+004	(7.13399339692645e+000dB,-1.78213136294307e+002°)
1.03968306733598e+005	(7.13456766414568e+000dB,-1.78341171413642e+002°)
1.11430472101904e+005	(7.13506749712155e+000dB,-1.78461253011037e+002°)
1.19428222916711e+005	(7.13550249290635e+000dB,-1.78573954583565e+002°)
1.28000000000000e+005	(7.13588100635910e+000dB,-1.78679814844471e+002°)
1.37187003204645e+005	(7.13621030955228e+000dB,-1.78779340183578e+002°)
1.47033389439620e+005	(7.13649673067791e+000dB,-1.78873007005115e+002°)
1.57586484908149e+005	(7.13674577504548e+000dB,-1.78961263889026e+002°)
1.68897012578930e+005	(7.13696223043461e+000dB,-1.79044533764536e+002°)
1.81019335983756e+005	(7.13715025878843e+000dB,-1.79123215799965e+002°)
1.94011720513331e+005	(7.13731347597116e+000dB,-1.79197687318916e+002°)
2.07936613467196e+005	(7.13745502110089e+000dB,-1.79268305568034e+002°)
2.22860944203808e+005	(7.13757761677047e+000dB,-1.79335409403883e+002°)
2.38856445833423e+005	(7.13768362130001e+000dB,-1.79399320897077e+002°)
2.56000000000000e+005	(7.13777507401498e+000dB,-1.79460346860316e+002°)
2.74374006409291e+005	(7.13785373441235e+000dB,-1.79518780306819e+002°)
2.94066778879241e+005	(7.13792111596125e+000dB,-1.79574901862749e+002°)
3.15172969816298e+005	(7.13797851518729e+000dB,-1.79628981018582e+002°)
3.37794025157861e+005	(7.13802703658579e+000dB,-1.79681277588998e+002°)
3.62038671967512e+005	(7.13806761385797e+000dB,-1.79732042781042e+002°)
3.88023441026662e+005	(7.13810102785928e+000dB,-1.79781520482275e+002°)
4.15873226934392e+005	(7.13812792161405e+000dB,-1.79829948410791e+002°)
4.45721888407615e+005	(7.13814881268066e+000dB,-1.79877559253708e+002°)
4.77712891666845e+005	(7.13816410310499e+000dB,-1.79924581782121e+002°)
5.12000000000000e+005	(7.13817408715272e+000dB,-1.79971241947721e+002°)
