#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-12-23 15:01:51.866
#Sample rate: 294985Hz
#Samples: 8192
#Trigger: Source: Vdcout Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Vdcout: Range: 1 V/div Offset: -5 V Attenuation: 1 X Sample Mode: Average
#Vp: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 2 kHz
#Period: 500 us
#Amplitude: 2.5 V
#Offset: 2.49 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Vdcout (V),Vp (V)
-0.02744206152312829,8.323147745613195,4.50702532772539
-0.0274386715231283,8.323147745613195,4.50702532772539
-0.0274352815231283,8.323147745613195,4.50702532772539
-0.0274318915231283,8.319446933609429,4.499492849156056
-0.0274285015231283,8.319446933609427,4.495726609871383
-0.0274251115231283,8.323147745613195,4.495726609871383
-0.02742172152312829,8.319446933609427,4.488194131302044
-0.02741833152312829,8.319446933609429,4.484427892017381
-0.0274149415231283,8.323147745613195,4.491960370586715
-0.0274115515231283,8.319446933609429,4.488194131302047
-0.0274081615231283,8.319446933609427,4.480661652732715
-0.0274047715231283,8.319446933609427,4.480661652732708
-0.02740138152312829,8.315746121605663,4.480661652732708
-0.02739799152312829,8.319446933609425,4.480661652732707
-0.0273946015231283,8.31574612160566,4.47689541344804
-0.0273912115231283,8.319446933609427,4.47689541344804
-0.0273878215231283,8.319446933609427,4.47689541344804
-0.02738443152312829,8.323147745613195,4.473129174163371
-0.0273810415231283,8.31574612160566,4.473129174163371
-0.02737765152312829,8.319446933609424,4.473129174163371
-0.02737426152312829,8.312045309601894,4.473129174163369
-0.0273708715231283,8.312045309601894,4.469362934878703
-0.0273674815231283,8.315746121605658,4.473129174163369
-0.0273640915231283,8.312045309601896,4.473129174163371
-0.0273607015231283,8.31574612160566,4.473129174163371
-0.0273573115231283,8.312045309601894,4.473129174163371
-0.02735392152312829,8.319446933609425,4.473129174163369
-0.02735053152312829,8.31574612160566,4.469362934878703
-0.0273471415231283,8.31574612160566,4.469362934878703
-0.0273437515231283,8.31574612160566,4.469362934878703
-0.0273403615231283,8.31574612160566,4.469362934878703
-0.0273369715231283,8.31574612160566,4.469362934878703
-0.02733358152312829,8.31574612160566,4.476895413448038
-0.02733019152312829,8.315746121605658,4.473129174163367
-0.0273268015231283,8.312045309601894,4.465596695594034
-0.0273234115231283,8.315746121605658,4.469362934878701
-0.0273200215231283,8.312045309601896,4.469362934878703
-0.0273166315231283,8.312045309601894,4.469362934878703
-0.0273132415231283,8.31574612160566,4.469362934878703
-0.02730985152312829,8.31204530960189,4.469362934878703
-0.02730646152312829,8.304643685594362,4.469362934878703
-0.0273030715231283,8.312045309601894,4.469362934878703
-0.0272996815231283,8.312045309601894,4.469362934878703
-0.0272962915231283,8.308344497598128,4.469362934878703
-0.0272929015231283,8.308344497598126,4.465596695594034
-0.02728951152312829,8.304643685594362,4.469362934878699
-0.02728612152312829,8.308344497598128,4.465596695594034
-0.0272827315231283,8.312045309601894,4.465596695594034
-0.0272793415231283,8.308344497598126,4.469362934878703
-0.0272759515231283,8.312045309601892,4.469362934878703
-0.02727256152312829,8.308344497598126,4.469362934878703
-0.0272691715231283,8.308344497598126,4.465596695594034
-0.02726578152312829,8.308344497598128,4.469362934878703
-0.02726239152312829,8.312045309601892,4.469362934878701
-0.0272590015231283,8.308344497598126,4.465596695594034
-0.0272556115231283,8.308344497598126,4.469362934878701
-0.0272522215231283,8.308344497598126,4.465596695594035
-0.0272488315231283,8.308344497598126,4.469362934878703
-0.0272454415231283,8.308344497598126,4.469362934878703
-0.02724205152312829,8.312045309601947,3.889362085038177
-0.02723866152312829,8.430471293722443,0.4922142502685556
-0.0272352715231283,8.400864797692305,-0.07272164243174928
-0.0272318815231283,8.360155865650885,-0.1066177959937522
-0.0272284915231283,8.352754241643339,-0.1103840352784328
-0.0272251015231283,8.352754241643332,-0.1066177959937676
-0.02722171152312829,8.349053429639564,-0.09908531742443016
-0.02721832152312829,8.349053429639564,-0.09908531742442846
-0.0272149315231283,8.349053429639564,-0.09531907813976147
-0.0272115415231283,8.349053429639564,-0.09155283885509448
-0.0272081515231283,8.345352617635799,-0.08402036028575881
-0.0272047615231283,8.349053429639564,-0.08025412100108667
-0.0272013715231283,8.349053429639564,-0.07648788171641797
-0.02719798152312829,8.349053429639563,-0.06895540314707886
-0.02719459152312829,8.345352617635795,-0.06518916386240844
-0.0271912015231283,8.341651805632031,-0.05765668529307448
-0.0271878115231283,8.345352617635795,-0.05765668529307448
-0.0271844215231283,8.345352617635797,-0.0501242067237405
-0.0271810315231283,8.341651805632031,-0.04635796743906838
-0.02717764152312829,8.345352617635797,-0.04259172815439968
-0.02717425152312829,8.345352617635797,-0.04259172815439626
-0.0271708615231283,8.345352617635797,-0.03505924958506228
-0.0271674715231283,8.341651805632031,-0.03505924958506228
-0.0271640815231283,8.345352617635795,-0.03505924958506228
-0.02716069152312829,8.341651805632031,-0.03505924958506228
-0.0271573015231283,8.345352617635797,-0.03505924958506228
-0.02715391152312829,8.345352617635795,-0.03505924958506056
-0.02715052152312829,8.341651805632031,-0.03129301030039187
-0.0271471315231283,8.341651805632031,-0.02752677101572488
-0.0271437415231283,8.345352617635795,-0.0237605317310579
-0.0271403515231283,8.341651805632033,-0.02752677101572317
-0.0271369615231283,8.345352617635797,-0.02376053173105618
