#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2023-12-23 15:01:26.361
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Vdcout Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Vdcout: Range: 1 V/div Offset: -5 V Attenuation: 1 X Sample Mode: Average
#Vp: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 2.49 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Vdcout (V),Vp (V)
-0.02024,6.206283279458375,4.484427892017377
-0.0202375,6.206283279458375,4.488194131302044
-0.020235,6.206283279458375,4.484427892017377
-0.0202325,6.206283279458375,4.484427892017377
-0.02023,6.209984091462134,4.484427892017377
-0.0202275,6.202582467454614,4.484427892017377
-0.020225,6.209984091462141,4.480661652732708
-0.0202225,6.206283279458376,4.476895413448042
-0.02022,6.202582467454609,4.47689541344804
-0.0202175,6.206283279458373,4.480661652732707
-0.020215,6.202582467454607,4.47689541344804
-0.0202125,6.209984091462138,4.47689541344804
-0.02021,6.209984091462138,4.476895413448038
-0.0202075,6.202582467454607,4.473129174163371
-0.020205,6.206283279458375,4.473129174163371
-0.0202025,6.206283279458371,4.476895413448033
-0.0202,6.202582467454611,4.46936293487871
-0.0201975,6.202582467454607,4.473129174163371
-0.020195,6.206283279458368,4.473129174163367
-0.0201925,6.198881655450847,4.469362934878706
-0.02019,6.202582467454607,4.469362934878705
-0.0201875,6.202582467454607,4.473129174163371
-0.020185,6.206283279458373,4.473129174163371
-0.0201825,6.202582467454609,4.473129174163371
-0.02018,6.206283279458375,4.473129174163371
-0.0201775,6.20998409146214,4.465596695594037
-0.020175,6.202582467454611,4.469362934878706
-0.0201725,6.206283279458375,4.473129174163371
-0.02017,6.206283279458375,4.473129174163371
-0.0201675,6.202582467454607,4.473129174163364
-0.020165,6.202582467454607,4.465596695594041
-0.0201625,6.19888165545084,4.469362934878703
-0.02016,6.19888165545084,4.473129174163369
-0.0201575,6.19888165545084,4.473129174163371
-0.020155,6.202582467454607,4.465596695594035
-0.0201525,6.202582467454607,4.469362934878703
-0.02015,6.206283279458373,4.469362934878703
-0.0201475,6.202582467454605,4.473129174163367
-0.020145,6.19888165545084,4.465596695594034
-0.0201425,6.19888165545084,4.465596695594034
-0.02014,6.19888165545084,4.469362934878703
-0.0201375,6.19888165545084,4.469362934878703
-0.020135,6.206283279458375,4.473129174163371
-0.0201325,6.202582467454607,4.465596695594037
-0.02013,6.202582467454607,4.469362934878699
-0.0201275,6.202582467454607,4.469362934878703
-0.020125,6.202582467454607,4.469362934878703
-0.0201225,6.206283279458373,4.469362934878703
-0.02012,6.202582467454605,4.465596695594035
-0.0201175,6.19888165545084,4.469362934878703
-0.020115,6.19888165545084,4.473129174163369
-0.0201125,6.198881655450844,4.469362934878706
-0.02011,6.202582467454605,4.473129174163371
-0.0201075,6.19888165545084,4.473129174163371
-0.020105,6.202582467454607,4.473129174163371
-0.0201025,6.202582467454607,4.473129174163371
-0.0201,6.19888165545084,4.469362934878703
-0.0200975,6.19888165545084,4.469362934878703
-0.020095,6.19888165545084,4.469362934878703
-0.0200925,6.195180843447075,4.469362934878701
-0.02009,6.19888165545084,4.465596695594034
-0.0200875,6.19888165545084,4.469362934878701
-0.020085,6.198881655450839,4.469362934878703
-0.0200825,6.195180843447073,4.469362934878703
-0.02008,6.19888165545084,4.469362934878703
-0.0200775,6.198881655450844,4.473129174163371
