vin	V(vgs)	V(vo)	I(Rd)
1.878999999999991e+000	1.879000e+000	4.998262e+000	8.687460e-006
1.879999999999991e+000	1.880000e+000	4.998228e+000	8.861652e-006
1.880999999999991e+000	1.881000e+000	4.998192e+000	9.039323e-006
1.881999999999991e+000	1.882000e+000	4.998156e+000	9.220544e-006
1.882999999999991e+000	1.883000e+000	4.998119e+000	9.405383e-006
1.883999999999991e+000	1.884000e+000	4.998081e+000	9.593913e-006
1.884999999999991e+000	1.885000e+000	4.998043e+000	9.786207e-006
1.885999999999991e+000	1.886000e+000	4.998003e+000	9.982340e-006
1.886999999999991e+000	1.887000e+000	4.997963e+000	1.018239e-005
1.887999999999990e+000	1.888000e+000	4.997923e+000	1.038643e-005
1.888999999999990e+000	1.889000e+000	4.997881e+000	1.059454e-005
1.889999999999990e+000	1.890000e+000	4.997838e+000	1.080681e-005
1.890999999999990e+000	1.891000e+000	4.997795e+000	1.102331e-005
1.891999999999990e+000	1.892000e+000	4.997751e+000	1.124413e-005
1.892999999999990e+000	1.893000e+000	4.997706e+000	1.146935e-005
1.893999999999990e+000	1.894000e+000	4.997660e+000	1.169907e-005
1.894999999999990e+000	1.895000e+000	4.997613e+000	1.193337e-005
1.895999999999990e+000	1.896000e+000	4.997566e+000	1.217234e-005
1.896999999999989e+000	1.897000e+000	4.997517e+000	1.241607e-005
1.897999999999989e+000	1.898000e+000	4.997467e+000	1.266466e-005
1.898999999999989e+000	1.899000e+000	4.997416e+000	1.291821e-005
1.899999999999989e+000	1.900000e+000	4.997365e+000	1.317681e-005
1.900999999999989e+000	1.901000e+000	4.997312e+000	1.344056e-005
1.901999999999989e+000	1.902000e+000	4.997258e+000	1.370956e-005
1.902999999999989e+000	1.903000e+000	4.997203e+000	1.398393e-005
1.903999999999989e+000	1.904000e+000	4.997147e+000	1.426376e-005
1.904999999999989e+000	1.905000e+000	4.997090e+000	1.454916e-005
1.905999999999988e+000	1.906000e+000	4.997032e+000	1.484025e-005
1.906999999999988e+000	1.907000e+000	4.996973e+000	1.513713e-005
1.907999999999988e+000	1.908000e+000	4.996912e+000	1.543992e-005
1.908999999999988e+000	1.909000e+000	4.996850e+000	1.574874e-005
1.909999999999988e+000	1.910000e+000	4.996787e+000	1.606370e-005
1.910999999999988e+000	1.911000e+000	4.996723e+000	1.638493e-005
1.911999999999988e+000	1.912000e+000	4.996657e+000	1.671255e-005
1.912999999999988e+000	1.913000e+000	4.996591e+000	1.704669e-005
1.913999999999988e+000	1.914000e+000	4.996522e+000	1.738747e-005
1.914999999999987e+000	1.915000e+000	4.996453e+000	1.773503e-005
1.915999999999987e+000	1.916000e+000	4.996382e+000	1.808950e-005
1.916999999999987e+000	1.917000e+000	4.996310e+000	1.845102e-005
1.917999999999987e+000	1.918000e+000	4.996236e+000	1.881972e-005
1.918999999999987e+000	1.919000e+000	4.996161e+000	1.919575e-005
1.919999999999987e+000	1.920000e+000	4.996084e+000	1.957925e-005
1.920999999999987e+000	1.921000e+000	4.996006e+000	1.997037e-005
1.921999999999987e+000	1.922000e+000	4.995926e+000	2.036925e-005
1.922999999999987e+000	1.923000e+000	4.995845e+000	2.077606e-005
1.923999999999986e+000	1.924000e+000	4.995762e+000	2.119095e-005
1.924999999999986e+000	1.925000e+000	4.995677e+000	2.161407e-005
1.925999999999986e+000	1.926000e+000	4.995591e+000	2.204560e-005
1.926999999999986e+000	1.927000e+000	4.995503e+000	2.248568e-005
1.927999999999986e+000	1.928000e+000	4.995413e+000	2.293450e-005
1.928999999999986e+000	1.929000e+000	4.995322e+000	2.339223e-005
1.929999999999986e+000	1.930000e+000	4.995228e+000	2.385903e-005
1.930999999999986e+000	1.931000e+000	4.995133e+000	2.433509e-005
