vdd	V(vgs)	V(vo)	I(Rd)
Step Information: Vin=2.19  (Run: 1/3)
3.899999999999994e+000	2.190000e+000	3.239507e+000	3.302464e-003
3.949999999999994e+000	2.190000e+000	3.289507e+000	3.302464e-003
3.999999999999994e+000	2.190000e+000	3.339507e+000	3.302464e-003
4.049999999999994e+000	2.190000e+000	3.389507e+000	3.302464e-003
4.099999999999993e+000	2.190000e+000	3.439507e+000	3.302464e-003
4.149999999999993e+000	2.190000e+000	3.489507e+000	3.302464e-003
4.199999999999993e+000	2.190000e+000	3.539507e+000	3.302464e-003
4.249999999999993e+000	2.190000e+000	3.589507e+000	3.302464e-003
4.299999999999993e+000	2.190000e+000	3.639507e+000	3.302464e-003
4.349999999999993e+000	2.190000e+000	3.689507e+000	3.302464e-003
4.399999999999992e+000	2.190000e+000	3.739507e+000	3.302464e-003
4.449999999999992e+000	2.190000e+000	3.789507e+000	3.302464e-003
4.499999999999992e+000	2.190000e+000	3.839507e+000	3.302464e-003
4.549999999999992e+000	2.190000e+000	3.889507e+000	3.302464e-003
4.599999999999992e+000	2.190000e+000	3.939507e+000	3.302464e-003
4.649999999999992e+000	2.190000e+000	3.989507e+000	3.302464e-003
4.699999999999991e+000	2.190000e+000	4.039507e+000	3.302464e-003
4.749999999999991e+000	2.190000e+000	4.089507e+000	3.302464e-003
4.799999999999991e+000	2.190000e+000	4.139507e+000	3.302464e-003
4.849999999999991e+000	2.190000e+000	4.189507e+000	3.302464e-003
4.899999999999991e+000	2.190000e+000	4.239507e+000	3.302464e-003
4.949999999999990e+000	2.190000e+000	4.289507e+000	3.302464e-003
5.000000000000000e+000	2.190000e+000	4.339507e+000	3.302464e-003
Step Information: Vin=2.23  (Run: 2/3)
0.000000000000000e+000	2.230000e+000	1.869824e-028	-9.349120e-031
5.000000000000000e-002	2.230000e+000	7.713906e-004	2.461431e-004
1.000000000000000e-001	2.230000e+000	1.557848e-003	4.922107e-004
1.500000000000000e-001	2.230000e+000	2.360297e-003	7.381985e-004
2.000000000000000e-001	2.230000e+000	3.179752e-003	9.841012e-004
2.500000000000000e-001	2.230000e+000	4.017345e-003	1.229913e-003
3.000000000000000e-001	2.230000e+000	4.874337e-003	1.475628e-003
3.500000000000000e-001	2.230000e+000	5.752144e-003	1.721239e-003
4.000000000000000e-001	2.230000e+000	6.652363e-003	1.966738e-003
4.500000000000000e-001	2.230000e+000	7.576805e-003	2.212116e-003
4.999999999999999e-001	2.230000e+000	8.527540e-003	2.457362e-003
5.499999999999999e-001	2.230000e+000	9.506949e-003	2.702465e-003
6.000000000000000e-001	2.230000e+000	1.051780e-002	2.947411e-003
6.500000000000000e-001	2.230000e+000	1.156333e-002	3.192183e-003
7.000000000000001e-001	2.230000e+000	1.264738e-002	3.436763e-003
7.500000000000001e-001	2.230000e+000	1.377455e-002	3.681127e-003
8.000000000000002e-001	2.230000e+000	1.495045e-002	3.925248e-003
