#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-02-01 11:04:48.956
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Digital
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 25 kHz
#Period: 40 us
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °

Ch1 -> Inv1
Ch2 -> Inv3

Time (s),Channel 1 (V),Channel 2 (V)
-9.950000000000001e-05,-2.590809374202193,-0.8560994136428387
-9.948e-05,-2.564903690175823,-0.8862293279201884
-9.946e-05,-2.538998006149443,-0.916359242197555
-9.944000000000001e-05,-2.51679313412686,-0.9540216350442079
-9.942000000000001e-05,-2.494588262104247,-0.9803853100369059
-9.94e-05,-2.468682578077876,-1.006748985029587
-9.938e-05,-2.439076082047739,-1.033112660022268
-9.936000000000001e-05,-2.402067962010084,-1.067008813584271
-9.934000000000001e-05,-2.379863089987464,-1.093372488576967
-9.932e-05,-2.342854969949793,-1.123502402854316
-9.93e-05,-2.316949285923422,-1.146099838562329
-9.928e-05,-2.276240353881975,-1.17246351355502
-9.926000000000001e-05,-2.257736293863148,-1.195060949263022
-9.924000000000001e-05,-2.213326549817942,-1.217658384971034
-9.922e-05,-2.17631842978027,-1.240255820679046
-9.92e-05,-2.143011121746354,-1.262853256387068
-9.918000000000001e-05,-2.117105437720007,-1.28545069209506
-9.916000000000001e-05,-2.054191633655954,-1.304281888518414
-9.914e-05,-2.024585137625816,-1.330645563511095
-9.912e-05,-1.980175393580592,-1.364541717073122
-9.910000000000001e-05,-1.93946646153919,-1.383372913496448
-9.908000000000001e-05,-1.9024583415015,-1.387139152781125
-9.906e-05,-1.858048597456293,-1.417269067058475
-9.904e-05,-1.828442101426156,-1.439866502766487
-9.902000000000001e-05,-1.787733169384736,-1.458697699189822
-9.900000000000001e-05,-1.750725049347046,-1.469996417043837
-9.898e-05,-1.687811245283004,-1.48882761346718
-9.896e-05,-1.658204749252866,-1.515191288459861
-9.894e-05,-1.613795005207639,-1.522723767029206
-9.892000000000001e-05,-1.565684449158687,-1.537788724167873
-9.890000000000001e-05,-1.528676329121016,-1.564152399160554
-9.888e-05,-1.491668209083344,-1.579217356299229
-9.886e-05,-1.458360901049416,-1.586749834868587
-9.884000000000001e-05,-1.406549532996723,-1.63194470628457
-9.882000000000001e-05,-1.36584060095526,-1.613113509861247
-9.88e-05,-1.31402923290252,-1.628178466999922
-9.878e-05,-1.284422736872366,-1.650775902707933
-9.876000000000001e-05,-1.247414616834728,-1.647009663423267
-9.874000000000001e-05,-1.214107308800807,-1.669607099131278
-9.872e-05,-1.158595128744299,-1.669607099131278
-9.87e-05,-1.125287820710394,-1.684672056269953
-9.868000000000001e-05,-1.091980512676505,-1.677139577700619
-9.866000000000001e-05,-1.054972392638818,-1.688438295554621
-9.864e-05,-0.9994602125823105,-1.684672056269953
-9.862e-05,-0.9661529045484061,-1.69220453483929
-9.86e-05,-0.932845596514483,-1.703503252693291
-9.858000000000001e-05,-0.8921366644730627,-1.69220453483929
-9.856000000000001e-05,-0.8477269204278567,-1.703503252693296
-9.854e-05,-0.810718800390185,-1.695970774123959
-9.852e-05,-0.7811123043600308,-1.692204534839293
-9.850000000000001e-05,-0.7441041843223759,-1.699737013408627
-9.848000000000001e-05,-0.7144976882922386,-1.703503252693296
-9.846e-05,-0.6663871322432654,-1.695970774123959
-9.844e-05,-0.6293790122055769,-1.695970774123957
-9.842000000000001e-05,-0.5923708921679389,-1.692204534839292
-9.840000000000001e-05,-0.5516619601264832,-1.69220453483929
-9.838e-05,-0.5220554640963458,-1.703503252693296
-9.836e-05,-0.4887481560624413,-1.699737013408627
-9.834000000000001e-05,-0.448039224021021,-1.688438295554626
-9.832000000000001e-05,-0.4110311039833308,-1.707269491977965
-9.83e-05,-0.3740229839456591,-1.699737013408627
-9.828e-05,-0.3444164879155218,-1.699737013408627
-9.826e-05,-0.3111091798816037,-1.703503252693291
-9.824000000000001e-05,-0.2815026838514799,-1.69220453483929
-9.822e-05,-0.2444945638138082,-1.695970774123959
-9.82e-05,-0.2111872557799037,-1.703503252693296
-9.818e-05,-0.1704783237384514,-1.711035731262632
-9.816000000000001e-05,-0.1408718277083275,-1.707269491977965
-9.814000000000001e-05,-0.107564519674423,-1.707269491977965
-9.812e-05,-0.08165883564805282,-1.711035731262633
-9.81e-05,-0.05205233961789695,-1.695970774123959
-9.808000000000001e-05,-0.01134340757649512,-1.695970774123959
-9.806000000000001e-05,0.01826308845366073,-1.703503252693296
-9.804e-05,0.05527120849133242,-1.688438295554621
-9.802e-05,0.0811768925177026,-1.69220453483929
-9.800000000000001e-05,0.1033817645402955,-1.714801970547292
-9.798000000000001e-05,0.1403898845779773,-1.703503252693296
-9.796e-05,0.1736971926118818,-1.707269491977965
-9.794e-05,0.1959020646344848,-1.711035731262633
-9.792000000000001e-05,0.2329101846721397,-1.695970774123966
-9.790000000000001e-05,0.2588158686985267,-1.703503252693296
-9.788e-05,0.2921231767324312,-1.711035731262633
-9.786e-05,0.3291312967701029,-1.699737013408627
-9.784e-05,0.3661394168077813,-1.707269491977968
-9.782000000000001e-05,0.3809426648228432,-1.714801970547302
-9.780000000000001e-05,0.4142499728567478,-1.714801970547302
-9.778e-05,0.4401556568831179,-1.703503252693296
-9.776e-05,0.4734629649170275,-1.695970774123966
-9.774000000000001e-05,0.4845654009283189,-1.711035731262627
-9.772000000000001e-05,0.5104710849546942,-1.711035731262633
-9.77e-05,0.5548808289999001,-1.703503252693296
-9.768e-05,0.5696840770149839,-1.707269491977965
-9.766000000000001e-05,0.6029913850488582,-1.707269491977965
-9.764000000000001e-05,0.6214954450677092,-1.707269491977965
-9.762e-05,0.6548027531016137,-1.699737013408627
-9.76e-05,0.6807084371279839,-1.703503252693296
-9.758000000000001e-05,0.6992124971468113,-1.695970774123962
-9.756000000000001e-05,0.7251181811731899,-1.707269491977965
-9.754e-05,0.7547246772033273,-1.703503252693296
-9.752e-05,0.7806303612296974,-1.703503252693296
-9.75e-05,0.7991344212485451,-1.703503252693298
-9.748000000000001e-05,0.8250401052749035,-1.707269491977965
-9.746000000000001e-05,0.8398433532899721,-1.711035731262633
-9.744e-05,0.8657490373163423,-1.707269491977965
-9.742e-05,0.8990563453502501,-1.692204534839297
-9.740000000000001e-05,0.9064579693577778,-1.707269491977958
-9.738000000000001e-05,0.9397652773916857,-1.695970774123959
-9.736e-05,0.9545685254067543,-1.699737013408627
-9.734e-05,0.9730725854256036,-1.699737013408629
-9.732000000000001e-05,1.002679081455714,-1.703503252693294
-9.730000000000001e-05,1.032285577485865,-1.703503252693296
-9.728e-05,1.047088825500933,-1.703503252693296
-9.726e-05,1.054490449508468,-1.699737013408627
-9.724000000000001e-05,1.076695321531061,-1.711035731262628
-9.722000000000001e-05,1.098900193553674,-1.711035731262633
-9.72e-05,1.11740425357251,-1.699737013408627
-9.718e-05,1.139609125595113,-1.695970774123959
-9.716e-05,1.154412373610196,-1.70726949197796
-9.714000000000001e-05,1.187719681644086,-1.695970774123959
-9.712000000000001e-05,1.206223741662922,-1.703503252693296
-9.71e-05,1.22102698967799,-1.699737013408627
-9.708e-05,1.235830237693066,-1.718568209831962
-9.706000000000001e-05,1.250633485708121,-1.699737013408636
-9.704000000000001e-05,1.283940793742032,-1.699737013408627
-9.702e-05,1.298744041757101,-1.69220453483929
-9.7e-05,1.317248101775943,-1.699737013408624
-9.698000000000001e-05,1.332051349790999,-1.692204534839293
-9.696000000000001e-05,1.343153785802307,-1.699737013408627
-9.694e-05,1.361657845821143,-1.699737013408627
-9.692e-05,1.394965153855047,-1.684672056269953
-9.690000000000001e-05,1.409768401870109,-1.68843829555462
-9.688000000000001e-05,1.409768401870116,-1.699737013408627
-9.686e-05,1.439374897900253,-1.699737013408627
-9.684e-05,1.446776521907788,-1.688438295554621
-9.682e-05,1.480083829941692,-1.703503252693287
-9.680000000000001e-05,1.480083829941692,-1.684672056269953
-9.678000000000001e-05,1.498587889960528,-1.695970774123959
-9.676e-05,1.517091949979364,-1.703503252693296
-9.674e-05,1.535596009998205,-1.692204534839293
-9.672000000000001e-05,1.546698446009496,-1.699737013408624
-9.670000000000001e-05,1.557800882020803,-1.688438295554621
-9.668e-05,1.591108190054707,-1.695970774123959
-9.666e-05,1.591108190054714,-1.699737013408629
-9.664000000000001e-05,1.605911438069769,-1.703503252693294
-9.662000000000001e-05,1.639218746103681,-1.699737013408627
-9.66e-05,1.642919558107448,-1.695970774123959
-9.658e-05,1.646620370111215,-1.695970774123959
-9.656000000000001e-05,1.665124430130042,-1.695970774123959
-9.654000000000001e-05,1.672526054137585,-1.684672056269953
-9.652e-05,1.694730926160188,-1.711035731262633
-9.65e-05,1.713234986179024,-1.699737013408627
-9.648e-05,1.720636610186565,-1.688438295554625
-9.646000000000001e-05,1.735439858201627,-1.695970774123959
-9.644e-05,1.739140670205394,-1.699737013408627
-9.642e-05,1.753943918220463,-1.695970774123959
-9.64e-05,1.772447978239305,-1.695970774123959
-9.638000000000001e-05,1.787251226254367,-1.695970774123959
-9.636000000000001e-05,1.802054474269436,-1.695970774123959
-9.634e-05,1.813156910280737,-1.695970774123959
-9.632e-05,1.839062594307104,-1.684672056269963
-9.630000000000001e-05,1.831660970299577,-1.707269491977955
-9.628000000000001e-05,1.846464218314642,-1.69220453483929
-9.626e-05,1.864968278333478,-1.699737013408627
-9.624e-05,1.883472338352314,-1.688438295554621
-9.622000000000001e-05,1.890873962359845,-1.692204534839288
-9.620000000000001e-05,1.913078834382451,-1.695970774123959
-9.618e-05,1.916779646386218,-1.699737013408627
-9.616e-05,1.920480458389985,-1.699737013408627
-9.614e-05,1.93898451840883,-1.688438295554626
-9.612000000000001e-05,1.957488578427657,-1.699737013408627
-9.61e-05,1.950086954420123,-1.695970774123959
-9.608e-05,1.972291826442726,-1.699737013408627
-9.606e-05,1.987095074457799,-1.699737013408626
-9.604000000000001e-05,1.998197510469096,-1.695970774123959
-9.602000000000001e-05,2.009299946480397,-1.695970774123959
-9.6e-05,2.020402382491699,-1.688438295554621
-9.598e-05,2.042607254514297,-1.688438295554623
-9.596000000000001e-05,2.031504818503005,-1.692204534839288
-9.594000000000001e-05,2.050008878521836,-1.699737013408627
-9.592e-05,2.057410502529371,-1.688438295554621
-9.59e-05,2.064812126536905,-1.69220453483929
