#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-02-01 11:03:42.560
#Sample rate: 3.33333e+07Hz
#Samples: 4096

Time (s),Vin,Inv1,Inv2,Inv3
-7.551e-05,0,0,0,1
-7.548e-05,0,0,0,1
-7.545e-05,0,0,0,1
-7.542000000000001e-05,0,0,0,1
-7.539000000000001e-05,0,0,0,1
-7.536e-05,0,0,0,1
-7.533e-05,0,0,0,1
-7.53e-05,0,0,0,1
-7.527e-05,0,0,0,1
-7.524e-05,0,0,0,1
-7.521000000000001e-05,0,0,0,1
-7.518000000000001e-05,0,0,0,1
-7.515e-05,0,0,0,1
-7.512e-05,0,0,0,1
-7.509e-05,0,0,0,1
-7.506e-05,0,0,0,1
-7.503000000000001e-05,0,0,0,1
-7.500000000000001e-05,0,0,0,1
-7.497000000000001e-05,0,0,0,1
-7.494e-05,0,0,0,1
-7.491e-05,0,0,0,1
-7.488e-05,0,0,0,1
-7.485e-05,0,0,0,1
-7.482000000000001e-05,0,0,0,1
-7.479000000000001e-05,0,0,0,1
-7.476000000000001e-05,0,0,1,1
-7.473e-05,0,0,1,1
-7.47e-05,0,0,1,1
-7.467e-05,0,0,1,1
-7.464e-05,0,0,1,1
-7.461000000000001e-05,0,0,1,1
-7.458000000000001e-05,0,0,1,1
-7.455e-05,0,0,1,1
-7.452e-05,0,0,1,1
-7.449e-05,0,0,1,1
-7.446e-05,0,0,1,1
-7.443e-05,0,0,1,1
-7.440000000000001e-05,0,0,1,1
-7.437000000000001e-05,0,0,1,1
-7.434e-05,0,0,1,1
-7.431e-05,0,0,1,1
-7.428e-05,0,0,1,1
-7.425e-05,0,0,1,1
-7.422e-05,0,0,1,1
-7.419000000000001e-05,0,0,1,1
-7.416000000000001e-05,0,0,1,1
-7.413e-05,0,0,1,1
-7.41e-05,0,0,1,1
-7.407e-05,0,0,1,1
-7.404e-05,0,0,1,1
-7.401e-05,0,0,1,1
-7.398000000000001e-05,0,0,1,1
-7.395000000000001e-05,0,0,1,1
-7.392e-05,0,0,1,1
-7.389e-05,0,0,1,1
-7.386e-05,0,0,1,1
-7.383e-05,0,0,1,1
-7.38e-05,0,0,1,1
-7.377000000000001e-05,0,0,1,1
-7.374000000000001e-05,0,0,1,1
-7.371e-05,0,0,1,1
-7.368e-05,0,0,1,1
-7.365e-05,0,0,1,1
-7.362e-05,0,0,1,1
-7.359000000000001e-05,0,0,1,1
-7.356000000000001e-05,0,0,1,1
-7.353000000000001e-05,0,0,1,1
-7.35e-05,0,0,1,1
-7.347e-05,0,0,1,1
-7.344e-05,0,0,1,1
-7.341e-05,0,0,1,1
-7.338000000000001e-05,0,0,1,1
-7.335000000000001e-05,0,0,1,1
-7.332e-05,0,0,1,1
-7.329e-05,0,0,1,1
-7.326e-05,0,0,1,1
-7.323e-05,0,0,1,1
-7.32e-05,0,0,1,1
-7.317000000000001e-05,0,0,1,1
-7.314000000000001e-05,0,0,1,1
-7.311e-05,0,0,1,1
-7.308e-05,0,0,1,1
-7.305e-05,0,0,1,1
-7.302e-05,0,0,1,1
-7.299e-05,0,0,1,1
-7.296000000000001e-05,0,0,1,1
-7.293000000000001e-05,0,0,1,1
-7.29e-05,0,0,1,1
-7.287e-05,0,0,1,1
-7.284e-05,0,0,1,1
-7.281e-05,0,0,1,1
-7.278e-05,0,0,1,1
-7.275000000000001e-05,0,0,1,1
-7.272000000000001e-05,0,0,1,1
-7.269e-05,0,0,1,1
-7.266e-05,0,0,1,1
