v1	I(Dgreen)	I(Dred)	I(Dyellow)
3.939999999999960e+00	6.896527e-03	1.252538e-02	9.637836e-03
3.949999999999960e+00	6.981863e-03	1.261826e-02	9.727814e-03
3.959999999999960e+00	7.067352e-03	1.271118e-02	9.817875e-03
3.969999999999959e+00	7.152990e-03	1.280415e-02	9.908017e-03
3.979999999999959e+00	7.238775e-03	1.289716e-02	9.998240e-03
3.989999999999959e+00	7.324704e-03	1.299023e-02	1.008854e-02
3.999999999999959e+00	7.410775e-03	1.308334e-02	1.017892e-02
4.009999999999959e+00	7.496984e-03	1.317649e-02	1.026938e-02
4.019999999999959e+00	7.583329e-03	1.326969e-02	1.035991e-02
4.029999999999959e+00	7.669809e-03	1.336294e-02	1.045052e-02
4.039999999999958e+00	7.756419e-03	1.345622e-02	1.054120e-02
4.049999999999958e+00	7.843159e-03	1.354956e-02	1.063196e-02
4.059999999999958e+00	7.930025e-03	1.364293e-02	1.072278e-02
4.069999999999958e+00	8.017017e-03	1.373635e-02	1.081368e-02
4.079999999999957e+00	8.104131e-03	1.382980e-02	1.090464e-02
4.089999999999957e+00	8.191364e-03	1.392330e-02	1.099568e-02
4.099999999999957e+00	8.278716e-03	1.401684e-02	1.108678e-02
4.109999999999957e+00	8.366184e-03	1.411042e-02	1.117794e-02
4.119999999999957e+00	8.453767e-03	1.420404e-02	1.126918e-02
4.129999999999956e+00	8.541461e-03	1.429770e-02	1.136047e-02
4.139999999999956e+00	8.629266e-03	1.439140e-02	1.145183e-02
4.149999999999956e+00	8.717180e-03	1.448514e-02	1.154326e-02
4.159999999999956e+00	8.805200e-03	1.457891e-02	1.163474e-02
4.169999999999956e+00	8.893326e-03	1.467273e-02	1.172629e-02
4.179999999999955e+00	8.981555e-03	1.476657e-02	1.181790e-02
4.189999999999955e+00	9.069886e-03	1.486046e-02	1.190956e-02
4.199999999999955e+00	9.158316e-03	1.495438e-02	1.200129e-02
4.209999999999955e+00	9.246846e-03	1.504834e-02	1.209307e-02
4.219999999999954e+00	9.335472e-03	1.514233e-02	1.218491e-02
4.229999999999954e+00	9.424194e-03	1.523636e-02	1.227681e-02
4.239999999999954e+00	9.513008e-03	1.533042e-02	1.236876e-02
4.249999999999954e+00	9.601917e-03	1.542452e-02	1.246077e-02
4.259999999999954e+00	9.690916e-03	1.551865e-02	1.255283e-02
4.269999999999953e+00	9.780005e-03	1.561281e-02	1.264494e-02
4.279999999999953e+00	9.869182e-03	1.570701e-02	1.273711e-02
4.289999999999953e+00	9.958445e-03	1.580124e-02	1.282933e-02
4.299999999999953e+00	1.004779e-02	1.589550e-02	1.292160e-02
4.309999999999953e+00	1.013723e-02	1.598979e-02	1.301392e-02
4.319999999999952e+00	1.022675e-02	1.608412e-02	1.310629e-02
4.329999999999952e+00	1.031634e-02	1.617848e-02	1.319871e-02
4.339999999999952e+00	1.040602e-02	1.627286e-02	1.329118e-02
4.349999999999952e+00	1.049578e-02	1.636728e-02	1.338370e-02
4.359999999999951e+00	1.058562e-02	1.646173e-02	1.347626e-02
4.369999999999951e+00	1.067553e-02	1.655621e-02	1.356888e-02
4.379999999999951e+00	1.076553e-02	1.665072e-02	1.366154e-02
4.389999999999951e+00	1.085559e-02	1.674526e-02	1.375424e-02
4.399999999999951e+00	1.094573e-02	1.683982e-02	1.384699e-02
4.409999999999950e+00	1.103594e-02	1.693442e-02	1.393979e-02
4.419999999999950e+00	1.112623e-02	1.702904e-02	1.403263e-02
4.429999999999950e+00	1.121659e-02	1.712370e-02	1.412551e-02
4.439999999999950e+00	1.130701e-02	1.721838e-02	1.421844e-02
4.449999999999950e+00	1.139751e-02	1.731308e-02	1.431141e-02
4.459999999999949e+00	1.148807e-02	1.740782e-02	1.440443e-02
4.469999999999949e+00	1.157870e-02	1.750258e-02	1.449748e-02
4.479999999999949e+00	1.166940e-02	1.759737e-02	1.459058e-02
4.489999999999949e+00	1.176016e-02	1.769219e-02	1.468371e-02
4.499999999999948e+00	1.185098e-02	1.778703e-02	1.477689e-02
4.509999999999948e+00	1.194187e-02	1.788190e-02	1.487011e-02
4.519999999999948e+00	1.203283e-02	1.797679e-02	1.496337e-02
4.529999999999948e+00	1.212384e-02	1.807171e-02	1.505666e-02
4.539999999999948e+00	1.221492e-02	1.816665e-02	1.515000e-02
4.549999999999947e+00	1.230605e-02	1.826162e-02	1.524337e-02
4.559999999999947e+00	1.239725e-02	1.835662e-02	1.533678e-02
4.569999999999947e+00	1.248851e-02	1.845164e-02	1.543023e-02
4.579999999999947e+00	1.257982e-02	1.854668e-02	1.552371e-02
4.589999999999947e+00	1.267119e-02	1.864175e-02	1.561723e-02
4.599999999999946e+00	1.276262e-02	1.873684e-02	1.571079e-02
4.609999999999946e+00	1.285410e-02	1.883196e-02	1.580439e-02
4.619999999999946e+00	1.294564e-02	1.892709e-02	1.589802e-02
4.629999999999946e+00	1.303723e-02	1.902225e-02	1.599168e-02
4.639999999999946e+00	1.312888e-02	1.911744e-02	1.608538e-02
4.649999999999945e+00	1.322058e-02	1.921265e-02	1.617911e-02
4.659999999999945e+00	1.331233e-02	1.930788e-02	1.627288e-02
4.669999999999945e+00	1.340414e-02	1.940313e-02	1.636668e-02
4.679999999999945e+00	1.349600e-02	1.949840e-02	1.646051e-02
4.689999999999944e+00	1.358790e-02	1.959370e-02	1.655438e-02
4.699999999999944e+00	1.367986e-02	1.968902e-02	1.664828e-02
4.709999999999944e+00	1.377187e-02	1.978436e-02	1.674221e-02
4.719999999999944e+00	1.386392e-02	1.987972e-02	1.683618e-02
4.729999999999944e+00	1.395603e-02	1.997510e-02	1.693017e-02
4.739999999999943e+00	1.404818e-02	2.007050e-02	1.702420e-02
4.749999999999943e+00	1.414038e-02	2.016593e-02	1.711825e-02
4.759999999999943e+00	1.423263e-02	2.026137e-02	1.721234e-02
4.769999999999943e+00	1.432492e-02	2.035684e-02	1.730646e-02
4.779999999999943e+00	1.441726e-02	2.045232e-02	1.740061e-02
4.789999999999942e+00	1.450964e-02	2.054783e-02	1.749479e-02
4.799999999999942e+00	1.460207e-02	2.064335e-02	1.758900e-02
4.809999999999942e+00	1.469455e-02	2.073890e-02	1.768323e-02
4.819999999999942e+00	1.478706e-02	2.083446e-02	1.777750e-02
4.829999999999941e+00	1.487962e-02	2.093005e-02	1.787179e-02
4.839999999999941e+00	1.497222e-02	2.102565e-02	1.796611e-02
4.849999999999941e+00	1.506487e-02	2.112127e-02	1.806046e-02
4.859999999999941e+00	1.515755e-02	2.121691e-02	1.815484e-02
4.869999999999941e+00	1.525028e-02	2.131257e-02	1.824925e-02
4.879999999999940e+00	1.534305e-02	2.140825e-02	1.834368e-02
4.889999999999940e+00	1.543586e-02	2.150395e-02	1.843814e-02
4.899999999999940e+00	1.552871e-02	2.159966e-02	1.853263e-02
4.909999999999940e+00	1.562160e-02	2.169540e-02	1.862714e-02
4.919999999999940e+00	1.571453e-02	2.179115e-02	1.872168e-02
4.929999999999939e+00	1.580749e-02	2.188692e-02	1.881625e-02
4.939999999999939e+00	1.590050e-02	2.198271e-02	1.891084e-02
4.949999999999939e+00	1.599354e-02	2.207851e-02	1.900546e-02
4.959999999999939e+00	1.608662e-02	2.217433e-02	1.910010e-02
4.969999999999938e+00	1.617974e-02	2.227017e-02	1.919477e-02
4.979999999999938e+00	1.627289e-02	2.236603e-02	1.928946e-02
4.989999999999938e+00	1.636609e-02	2.246190e-02	1.938418e-02
5.000000000000000e+00	1.645931e-02	2.255779e-02	1.947892e-02
