v1	I(Dgreen)	I(Dred)	I(Dyellow)
9.000000000000006e-01	1.985879e-11	1.134569e-10	4.295529e-11
9.100000000000006e-01	2.152825e-11	1.257609e-10	4.705192e-11
9.200000000000006e-01	2.334288e-11	1.394076e-10	5.154555e-11
9.300000000000006e-01	2.531538e-11	1.545436e-10	5.647477e-11
9.400000000000006e-01	2.745957e-11	1.713316e-10	6.188190e-11
9.500000000000006e-01	2.979048e-11	1.899519e-10	6.781334e-11
9.600000000000006e-01	3.232441e-11	2.106049e-10	7.432005e-11
9.700000000000006e-01	3.507915e-11	2.335123e-10	8.145792e-11
9.800000000000006e-01	3.807402e-11	2.589204e-10	8.928825e-11
9.900000000000007e-01	4.133001e-11	2.871024e-10	9.787833e-11
1.000000000000001e+00	4.486997e-11	3.183613e-10	1.073020e-10
1.010000000000001e+00	4.871874e-11	3.530329e-10	1.176401e-10
1.020000000000001e+00	5.290333e-11	3.914901e-10	1.289816e-10
1.030000000000001e+00	5.745315e-11	4.341463e-10	1.414240e-10
1.040000000000001e+00	6.240011e-11	4.814601e-10	1.550742e-10
1.050000000000001e+00	6.777898e-11	5.339402e-10	1.700495e-10
1.060000000000001e+00	7.362754e-11	5.921508e-10	1.864787e-10
1.070000000000001e+00	7.998687e-11	6.567177e-10	2.045030e-10
1.080000000000001e+00	8.690167e-11	7.283352e-10	2.242774e-10
1.090000000000001e+00	9.442052e-11	8.077733e-10	2.459719e-10
1.100000000000001e+00	1.025963e-10	8.958861e-10	2.697730e-10
1.110000000000001e+00	1.114864e-10	9.936211e-10	2.958855e-10
1.120000000000001e+00	1.211534e-10	1.102029e-09	3.245337e-10
1.130000000000001e+00	1.316652e-10	1.222276e-09	3.559642e-10
1.140000000000001e+00	1.430957e-10	1.355654e-09	3.904471e-10
1.150000000000001e+00	1.555254e-10	1.503597e-09	4.282791e-10
1.160000000000001e+00	1.690415e-10	1.667698e-09	4.697854e-10
1.170000000000001e+00	1.837393e-10	1.849719e-09	5.153231e-10
1.180000000000001e+00	1.997219e-10	2.051619e-09	5.652838e-10
1.190000000000001e+00	2.171019e-10	2.275568e-09	6.200971e-10
1.200000000000001e+00	2.360016e-10	2.523974e-09	6.802346e-10
1.210000000000001e+00	2.565537e-10	2.799509e-09	7.462134e-10
1.220000000000001e+00	2.789029e-10	3.105135e-09	8.186011e-10
1.230000000000001e+00	3.032064e-10	3.444139e-09	8.980202e-10
1.240000000000001e+00	3.296352e-10	3.820165e-09	9.851538e-10
1.250000000000001e+00	3.583752e-10	4.237257e-09	1.080751e-09
1.260000000000001e+00	3.896287e-10	4.699901e-09	1.185635e-09
1.270000000000001e+00	4.236154e-10	5.213071e-09	1.300708e-09
1.280000000000001e+00	4.605745e-10	5.782285e-09	1.426958e-09
1.290000000000001e+00	5.007660e-10	6.413663e-09	1.565473e-09
1.300000000000001e+00	5.444727e-10	7.113996e-09	1.717443e-09
1.310000000000001e+00	5.920022e-10	7.890812e-09	1.884177e-09
1.320000000000001e+00	6.436889e-10	8.752466e-09	2.067107e-09
1.330000000000001e+00	6.998964e-10	9.708223e-09	2.267807e-09
1.340000000000001e+00	7.610202e-10	1.076836e-08	2.488005e-09
