v4	V(n010)	I(Dgreen1)
1.020000000000001e+000	1.020000e+000	5.290333e-011
1.030000000000001e+000	1.030000e+000	5.745315e-011
1.040000000000001e+000	1.040000e+000	6.240011e-011
1.050000000000001e+000	1.050000e+000	6.777898e-011
1.060000000000001e+000	1.060000e+000	7.362754e-011
1.070000000000001e+000	1.070000e+000	7.998687e-011
1.080000000000001e+000	1.080000e+000	8.690167e-011
1.090000000000001e+000	1.090000e+000	9.442052e-011
1.100000000000001e+000	1.100000e+000	1.025963e-010
1.110000000000001e+000	1.110000e+000	1.114864e-010
1.120000000000001e+000	1.120000e+000	1.211534e-010
1.130000000000001e+000	1.130000e+000	1.316652e-010
1.140000000000001e+000	1.140000e+000	1.430957e-010
1.150000000000001e+000	1.150000e+000	1.555254e-010
1.160000000000001e+000	1.160000e+000	1.690415e-010
1.170000000000001e+000	1.170000e+000	1.837393e-010
1.180000000000001e+000	1.180000e+000	1.997219e-010
1.190000000000001e+000	1.190000e+000	2.171019e-010
1.200000000000001e+000	1.200000e+000	2.360016e-010
1.210000000000001e+000	1.210000e+000	2.565537e-010
1.220000000000001e+000	1.220000e+000	2.789029e-010
1.230000000000001e+000	1.230000e+000	3.032064e-010
1.240000000000001e+000	1.240000e+000	3.296352e-010
1.250000000000001e+000	1.250000e+000	3.583752e-010
1.260000000000001e+000	1.260000e+000	3.896287e-010
1.270000000000001e+000	1.270000e+000	4.236154e-010
1.280000000000001e+000	1.280000e+000	4.605745e-010
1.290000000000001e+000	1.290000e+000	5.007660e-010
1.300000000000001e+000	1.300000e+000	5.444727e-010
1.310000000000001e+000	1.310000e+000	5.920022e-010
1.320000000000001e+000	1.320000e+000	6.436889e-010
1.330000000000001e+000	1.330000e+000	6.998964e-010
1.340000000000001e+000	1.340000e+000	7.610202e-010
1.350000000000001e+000	1.350000e+000	8.274905e-010
1.360000000000001e+000	1.360000e+000	8.997750e-010
1.370000000000001e+000	1.370000e+000	9.783823e-010
1.380000000000001e+000	1.380000e+000	1.063865e-009
1.390000000000001e+000	1.390000e+000	1.156826e-009
1.400000000000001e+000	1.400000e+000	1.257918e-009
1.410000000000001e+000	1.410000e+000	1.367854e-009
1.420000000000001e+000	1.420000e+000	1.487406e-009
1.430000000000001e+000	1.430000e+000	1.617416e-009
1.440000000000001e+000	1.440000e+000	1.758798e-009
1.450000000000001e+000	1.450000e+000	1.912549e-009
1.460000000000001e+000	1.460000e+000	2.079749e-009
1.470000000000001e+000	1.470000e+000	2.261575e-009
1.480000000000001e+000	1.480000e+000	2.459308e-009
1.490000000000001e+000	1.490000e+000	2.674337e-009
1.500000000000001e+000	1.500000e+000	2.908178e-009
1.510000000000001e+000	1.510000e+000	3.162474e-009
1.520000000000001e+000	1.520000e+000	3.439016e-009
1.530000000000001e+000	1.530000e+000	3.739750e-009
1.540000000000001e+000	1.540000e+000	4.066793e-009
1.550000000000001e+000	1.550000e+000	4.422445e-009
1.560000000000001e+000	1.559999e+000	4.809209e-009
1.570000000000001e+000	1.569999e+000	5.229808e-009
1.580000000000001e+000	1.579999e+000	5.687201e-009
1.590000000000001e+000	1.589999e+000	6.184607e-009
1.600000000000001e+000	1.599999e+000	6.725526e-009
1.610000000000001e+000	1.609999e+000	7.313766e-009
1.620000000000001e+000	1.619999e+000	7.953465e-009
1.630000000000001e+000	1.629999e+000	8.649127e-009
1.640000000000001e+000	1.639999e+000	9.405644e-009
1.650000000000001e+000	1.649999e+000	1.022834e-008
1.660000000000001e+000	1.659999e+000	1.112301e-008
1.670000000000001e+000	1.669999e+000	1.209595e-008
1.680000000000001e+000	1.679999e+000	1.315400e-008
1.690000000000001e+000	1.689999e+000	1.430460e-008
1.700000000000001e+000	1.699998e+000	1.555587e-008
1.710000000000001e+000	1.709998e+000	1.691659e-008
1.720000000000001e+000	1.719998e+000	1.839635e-008
1.730000000000001e+000	1.729998e+000	2.000556e-008
1.740000000000001e+000	1.739998e+000	2.175554e-008
1.750000000000001e+000	1.749998e+000	2.365861e-008
1.760000000000001e+000	1.759997e+000	2.572817e-008
1.770000000000001e+000	1.769997e+000	2.797876e-008
1.780000000000001e+000	1.779997e+000	3.042623e-008
1.790000000000001e+000	1.789997e+000	3.308780e-008
1.800000000000001e+000	1.799996e+000	3.598221e-008
1.810000000000001e+000	1.809996e+000	3.912981e-008
1.820000000000001e+000	1.819996e+000	4.255275e-008
1.830000000000001e+000	1.829995e+000	4.627512e-008
1.840000000000001e+000	1.839995e+000	5.032311e-008
1.850000000000001e+000	1.849995e+000	5.472519e-008
1.860000000000001e+000	1.859994e+000	5.951235e-008
1.870000000000001e+000	1.869994e+000	6.471826e-008
1.880000000000001e+000	1.879993e+000	7.037956e-008
1.890000000000002e+000	1.889992e+000	7.653605e-008
1.900000000000002e+000	1.899992e+000	8.323107e-008
1.910000000000002e+000	1.909991e+000	9.051170e-008
1.920000000000002e+000	1.919990e+000	9.842918e-008
1.930000000000002e+000	1.929989e+000	1.070392e-007
1.940000000000002e+000	1.939988e+000	1.164023e-007
1.950000000000002e+000	1.949987e+000	1.265843e-007
1.960000000000002e+000	1.959986e+000	1.376569e-007
1.970000000000002e+000	1.969985e+000	1.496979e-007
1.980000000000002e+000	1.979984e+000	1.627920e-007
1.990000000000002e+000	1.989982e+000	1.770314e-007
2.000000000000001e+000	1.999981e+000	1.925161e-007
2.010000000000001e+000	2.009979e+000	2.093549e-007
2.020000000000001e+000	2.019977e+000	2.276663e-007
2.030000000000001e+000	2.029975e+000	2.475791e-007
2.040000000000001e+000	2.039973e+000	2.692331e-007
2.050000000000000e+000	2.049971e+000	2.927806e-007
2.060000000000000e+000	2.059968e+000	3.183870e-007
2.070000000000000e+000	2.069965e+000	3.462324e-007
2.080000000000000e+000	2.079962e+000	3.765123e-007
2.089999999999999e+000	2.089959e+000	4.094394e-007
2.099999999999999e+000	2.099956e+000	4.452450e-007
2.109999999999999e+000	2.109951e+000	4.841806e-007
2.119999999999999e+000	2.119947e+000	5.265196e-007
2.129999999999999e+000	2.129943e+000	5.725590e-007
2.139999999999998e+000	2.139938e+000	6.226222e-007
2.149999999999998e+000	2.149932e+000	6.770602e-007
2.159999999999998e+000	2.159926e+000	7.362551e-007
2.169999999999998e+000	2.169920e+000	8.006218e-007
2.179999999999998e+000	2.179913e+000	8.706116e-007
2.189999999999997e+000	2.189905e+000	9.467152e-007
2.199999999999997e+000	2.199897e+000	1.029465e-006
2.209999999999997e+000	2.209888e+000	1.119442e-006
2.219999999999997e+000	2.219878e+000	1.217275e-006
2.229999999999996e+000	2.229868e+000	1.323648e-006
2.239999999999996e+000	2.239856e+000	1.439305e-006
2.249999999999996e+000	2.249844e+000	1.565055e-006
2.259999999999996e+000	2.259830e+000	1.701777e-006
2.269999999999996e+000	2.269815e+000	1.850423e-006
2.279999999999995e+000	2.279799e+000	2.012031e-006
2.289999999999995e+000	2.289781e+000	2.187729e-006
2.299999999999995e+000	2.299762e+000	2.378737e-006
2.309999999999995e+000	2.309741e+000	2.586387e-006
2.319999999999995e+000	2.319719e+000	2.812120e-006
2.329999999999994e+000	2.329694e+000	3.057505e-006
2.339999999999994e+000	2.339668e+000	3.324242e-006
2.349999999999994e+000	2.349639e+000	3.614179e-006
2.359999999999994e+000	2.359607e+000	3.929321e-006
2.369999999999993e+000	2.369573e+000	4.271844e-006
2.379999999999993e+000	2.379536e+000	4.644110e-006
2.389999999999993e+000	2.389495e+000	5.048679e-006
2.399999999999993e+000	2.399451e+000	5.488331e-006
2.409999999999993e+000	2.409403e+000	5.966078e-006
2.419999999999992e+000	2.419352e+000	6.485187e-006
2.429999999999992e+000	2.429295e+000	7.049198e-006
2.439999999999992e+000	2.439234e+000	7.661948e-006
2.449999999999992e+000	2.449167e+000	8.327591e-006
2.459999999999992e+000	2.459095e+000	9.050627e-006
2.469999999999991e+000	2.469016e+000	9.835928e-006
2.479999999999991e+000	2.478931e+000	1.068876e-005
2.489999999999991e+000	2.488838e+000	1.161483e-005
2.499999999999991e+000	2.498738e+000	1.262028e-005
2.509999999999991e+000	2.508629e+000	1.371179e-005
2.519999999999990e+000	2.518510e+000	1.489654e-005
2.529999999999990e+000	2.528382e+000	1.618228e-005
2.539999999999990e+000	2.538242e+000	1.757739e-005
2.549999999999990e+000	2.548091e+000	1.909087e-005
2.559999999999989e+000	2.557927e+000	2.073244e-005
2.569999999999989e+000	2.567749e+000	2.251255e-005
2.579999999999989e+000	2.577556e+000	2.444244e-005
2.589999999999989e+000	2.587347e+000	2.653416e-005
2.599999999999989e+000	2.597120e+000	2.880066e-005
2.609999999999988e+000	2.606874e+000	3.125581e-005
2.619999999999988e+000	2.616609e+000	3.391448e-005
