v3	I(Dyellow1)
1.670000000000001e+00	5.301325e-08
1.680000000000001e+00	5.816304e-08
1.690000000000001e+00	6.381306e-08
1.700000000000001e+00	7.001191e-08
1.710000000000001e+00	7.681290e-08
1.720000000000001e+00	8.427450e-08
1.730000000000001e+00	9.246087e-08
1.740000000000001e+00	1.014424e-07
1.750000000000001e+00	1.112963e-07
1.760000000000001e+00	1.221073e-07
1.770000000000001e+00	1.339683e-07
1.780000000000001e+00	1.469814e-07
1.790000000000001e+00	1.612582e-07
1.800000000000001e+00	1.769217e-07
1.810000000000001e+00	1.941063e-07
1.820000000000001e+00	2.129597e-07
1.830000000000001e+00	2.336440e-07
1.840000000000001e+00	2.563368e-07
1.850000000000001e+00	2.812332e-07
1.860000000000001e+00	3.085469e-07
1.870000000000001e+00	3.385125e-07
1.880000000000001e+00	3.713873e-07
1.890000000000001e+00	4.074537e-07
1.900000000000001e+00	4.470210e-07
1.910000000000001e+00	4.904290e-07
1.920000000000001e+00	5.380500e-07
1.930000000000001e+00	5.902925e-07
1.940000000000002e+00	6.476046e-07
1.950000000000002e+00	7.104775e-07
1.960000000000002e+00	7.794500e-07
1.970000000000002e+00	8.551130e-07
1.980000000000002e+00	9.381145e-07
1.990000000000002e+00	1.029165e-06
2.000000000000001e+00	1.129043e-06
2.010000000000001e+00	1.238603e-06
2.020000000000001e+00	1.358781e-06
2.030000000000001e+00	1.490604e-06
2.040000000000000e+00	1.635196e-06
2.050000000000000e+00	1.793790e-06
2.060000000000000e+00	1.967738e-06
2.070000000000000e+00	2.158521e-06
2.080000000000000e+00	2.367761e-06
2.089999999999999e+00	2.597235e-06
2.099999999999999e+00	2.848890e-06
2.109999999999999e+00	3.124859e-06
2.119999999999999e+00	3.427475e-06
2.129999999999999e+00	3.759296e-06
2.139999999999998e+00	4.123119e-06
2.149999999999998e+00	4.522004e-06
2.159999999999998e+00	4.959304e-06
2.169999999999998e+00	5.438680e-06
2.179999999999997e+00	5.964139e-06
2.189999999999997e+00	6.540059e-06
2.199999999999997e+00	7.171224e-06
