time	V(vo)
Step Information: X=2.2µ  (Run: 1/3)
0.000000000000000e+000	0.000000e+000
3.860708293821427e-004	2.226367e-008
4.218063907048645e-004	6.007225e-008
4.581088048042545e-004	1.751672e-007
4.765165263905929e-004	3.030458e-007
4.941757445042313e-004	5.138447e-007
5.123801018246423e-004	8.858791e-007
5.301480007016015e-004	1.508410e-006
5.482584657717321e-004	2.594055e-006
5.661166238793432e-004	4.427402e-006
5.841924101572605e-004	7.601719e-006
6.021252320774854e-004	1.299196e-005
6.201993794470947e-004	2.228403e-005
6.381967184994742e-004	3.811434e-005
6.562900419384587e-004	6.532791e-005
6.743483465865740e-004	1.117706e-004
6.924782547524773e-004	1.914428e-004
7.106035864186907e-004	3.274593e-004
7.287943870904601e-004	5.602234e-004
7.470135701980256e-004	9.568829e-004
7.653192449355139e-004	1.632393e-003
7.837156127660588e-004	2.775902e-003
8.022845318567406e-004	4.700280e-003
8.211100958090219e-004	7.900495e-003
8.403889710200977e-004	1.314584e-002
8.604448299787484e-004	2.157557e-002
8.819091981404555e-004	3.486547e-002
9.061863236613031e-004	5.575638e-002
9.369797335652718e-004	9.001369e-002
9.809453546785224e-004	1.476928e-001
1.028736770945478e-003	2.157624e-001
1.082370035605702e-003	2.943543e-001
1.154423236066132e-003	3.999864e-001
1.354423236066132e-003	6.890464e-001
1.554423236066132e-003	9.703429e-001
1.854423236066133e-003	1.375051e+000
2.154423236066132e-003	1.755888e+000
2.454423236066132e-003	2.109477e+000
2.754423236066131e-003	2.432703e+000
3.054423236066131e-003	2.722736e+000
3.354423236066130e-003	2.977064e+000
3.654423236066130e-003	3.193518e+000
3.954423236066130e-003	3.370296e+000
4.254423236066130e-003	3.505997e+000
4.554423236066131e-003	3.599646e+000
4.854423236066132e-003	3.650743e+000
5.054423236066133e-003	3.661159e+000
5.154423236066133e-003	3.659321e+000
5.254423236066133e-003	3.652828e+000
5.454423236066134e-003	3.626064e+000
5.654423236066134e-003	3.581367e+000
5.854423236066135e-003	3.519491e+000
5.954423236066135e-003	3.482438e+000
6.054423236066135e-003	3.441540e+000
6.154423236066135e-003	3.397017e+000
6.254423236066136e-003	3.349134e+000
6.354423236066136e-003	3.298212e+000
6.454423236066136e-003	3.244629e+000
6.554423236066137e-003	3.188827e+000
6.654423236066137e-003	3.131303e+000
6.754423236066137e-003	3.072592e+000
6.854423236066137e-003	3.013235e+000
6.954423236066138e-003	2.953737e+000
7.054423236066138e-003	2.894539e+000
7.154423236066138e-003	2.835977e+000
7.254423236066138e-003	2.778287e+000
7.354423236066139e-003	2.721606e+000
7.454423236066139e-003	2.666004e+000
7.554423236066139e-003	2.611505e+000
7.654423236066139e-003	2.558107e+000
7.754423236066140e-003	2.505796e+000
7.854423236066140e-003	2.454554e+000
7.954423236066139e-003	2.404358e+000
8.054423236066139e-003	2.355190e+000
8.154423236066138e-003	2.307026e+000
8.254423236066137e-003	2.259848e+000
8.354423236066137e-003	2.213634e+000
8.454423236066136e-003	2.168365e+000
8.554423236066136e-003	2.124022e+000
8.654423236066135e-003	2.080586e+000
8.754423236066134e-003	2.038039e+000
8.854423236066134e-003	1.996361e+000
8.954423236066133e-003	1.955536e+000
9.054423236066133e-003	1.915545e+000
9.254423236066131e-003	1.838001e+000
9.554423236066130e-003	1.727530e+000
1.005442323606613e-002	1.557970e+000
1.045442323606612e-002	1.434384e+000
1.065442323606612e-002	1.376318e+000
1.075442323606612e-002	1.348173e+000
1.085442323606612e-002	1.320603e+000
1.095442323606612e-002	1.293597e+000
1.105442323606612e-002	1.267143e+000
1.115442323606612e-002	1.241230e+000
1.125442323606612e-002	1.215848e+000
1.135442323606612e-002	1.191018e+000
1.145442323606612e-002	1.167425e+000
1.155442323606612e-002	1.153466e+000
1.165442323606612e-002	1.175184e+000
1.175442323606612e-002	1.254460e+000
1.185442323606612e-002	1.375006e+000
1.195442323606612e-002	1.504825e+000
1.225442323606611e-002	1.876938e+000
1.255442323606611e-002	2.220739e+000
1.285442323606611e-002	2.533199e+000
1.315442323606611e-002	2.811594e+000
1.345442323606611e-002	3.053521e+000
1.375442323606610e-002	3.256930e+000
1.405442323606610e-002	3.420151e+000
1.435442323606610e-002	3.541920e+000
1.465442323606610e-002	3.621416e+000
1.495442323606610e-002	3.658308e+000
1.505442323606610e-002	3.661159e+000
1.515442323606610e-002	3.659321e+000
1.525442323606610e-002	3.652828e+000
1.545442323606609e-002	3.626064e+000
1.565442323606609e-002	3.581367e+000
1.585442323606609e-002	3.519491e+000
1.595442323606609e-002	3.482438e+000
1.605442323606609e-002	3.441540e+000
1.615442323606609e-002	3.397017e+000
1.625442323606609e-002	3.349134e+000
1.635442323606609e-002	3.298212e+000
1.645442323606609e-002	3.244629e+000
1.655442323606609e-002	3.188827e+000
1.665442323606609e-002	3.131303e+000
1.675442323606609e-002	3.072592e+000
1.685442323606609e-002	3.013235e+000
1.695442323606609e-002	2.953737e+000
1.705442323606609e-002	2.894539e+000
1.715442323606609e-002	2.835977e+000
1.725442323606609e-002	2.778287e+000
1.735442323606608e-002	2.721606e+000
1.745442323606608e-002	2.666004e+000
1.755442323606608e-002	2.611505e+000
1.765442323606608e-002	2.558107e+000
1.775442323606608e-002	2.505796e+000
1.785442323606608e-002	2.454554e+000
1.795442323606608e-002	2.404358e+000
1.805442323606608e-002	2.355190e+000
1.815442323606608e-002	2.307026e+000
1.825442323606608e-002	2.259848e+000
1.835442323606608e-002	2.213634e+000
1.845442323606608e-002	2.168365e+000
1.855442323606608e-002	2.124022e+000
1.865442323606608e-002	2.080586e+000
1.875442323606608e-002	2.038039e+000
1.885442323606608e-002	1.996361e+000
1.895442323606607e-002	1.955536e+000
1.905442323606607e-002	1.915545e+000
1.925442323606607e-002	1.838001e+000
1.955442323606607e-002	1.727530e+000
2.005442323606607e-002	1.557970e+000
2.045442323606607e-002	1.434384e+000
2.065442323606606e-002	1.376318e+000
2.075442323606606e-002	1.348173e+000
2.085442323606606e-002	1.320603e+000
2.095442323606606e-002	1.293597e+000
2.105442323606606e-002	1.267143e+000
2.115442323606606e-002	1.241230e+000
2.125442323606606e-002	1.215848e+000
2.135442323606606e-002	1.191018e+000
2.145442323606606e-002	1.167425e+000
2.155442323606606e-002	1.153466e+000
2.165442323606606e-002	1.175184e+000
2.175442323606606e-002	1.254460e+000
2.185442323606606e-002	1.375006e+000
2.195442323606606e-002	1.504825e+000
2.225442323606605e-002	1.876938e+000
2.255442323606605e-002	2.220739e+000
2.285442323606605e-002	2.533199e+000
2.315442323606605e-002	2.811594e+000
2.345442323606605e-002	3.053521e+000
2.375442323606605e-002	3.256930e+000
2.405442323606604e-002	3.420151e+000
2.435442323606604e-002	3.541920e+000
2.465442323606604e-002	3.621416e+000
2.495442323606604e-002	3.658308e+000
2.505442323606604e-002	3.661159e+000
2.515442323606604e-002	3.659321e+000
2.525442323606604e-002	3.652828e+000
2.545442323606604e-002	3.626064e+000
2.565442323606603e-002	3.581367e+000
2.585442323606603e-002	3.519491e+000
2.595442323606603e-002	3.482438e+000
2.605442323606603e-002	3.441540e+000
2.615442323606603e-002	3.397017e+000
2.625442323606603e-002	3.349134e+000
2.635442323606603e-002	3.298212e+000
2.645442323606603e-002	3.244629e+000
2.655442323606603e-002	3.188827e+000
2.665442323606603e-002	3.131303e+000
2.675442323606603e-002	3.072592e+000
2.685442323606603e-002	3.013235e+000
2.695442323606603e-002	2.953737e+000
2.705442323606603e-002	2.894539e+000
2.715442323606603e-002	2.835977e+000
2.725442323606602e-002	2.778287e+000
2.735442323606602e-002	2.721606e+000
2.745442323606602e-002	2.666004e+000
2.755442323606602e-002	2.611505e+000
2.765442323606602e-002	2.558107e+000
2.775442323606602e-002	2.505796e+000
2.785442323606602e-002	2.454554e+000
2.795442323606602e-002	2.404358e+000
2.805442323606602e-002	2.355190e+000
2.815442323606602e-002	2.307026e+000
2.825442323606602e-002	2.259848e+000
2.835442323606602e-002	2.213634e+000
2.845442323606602e-002	2.168365e+000
2.855442323606602e-002	2.124022e+000
2.865442323606602e-002	2.080586e+000
2.875442323606602e-002	2.038039e+000
2.885442323606602e-002	1.996361e+000
2.895442323606601e-002	1.955536e+000
2.905442323606601e-002	1.915545e+000
2.925442323606601e-002	1.838001e+000
2.955442323606601e-002	1.727530e+000
3.005442323606601e-002	1.557970e+000
3.045442323606601e-002	1.434384e+000
3.065442323606600e-002	1.376318e+000
3.075442323606600e-002	1.348173e+000
3.085442323606600e-002	1.320603e+000
3.095442323606600e-002	1.293597e+000
3.105442323606600e-002	1.267143e+000
3.115442323606600e-002	1.241230e+000
3.125442323606600e-002	1.215848e+000
3.135442323606601e-002	1.191018e+000
3.145442323606601e-002	1.167425e+000
3.155442323606601e-002	1.153466e+000
3.165442323606602e-002	1.175184e+000
3.175442323606602e-002	1.254460e+000
3.185442323606602e-002	1.375006e+000
3.195442323606602e-002	1.504825e+000
3.225442323606603e-002	1.876938e+000
3.255442323606604e-002	2.220739e+000
3.285442323606605e-002	2.533199e+000
3.315442323606606e-002	2.811594e+000
3.345442323606607e-002	3.053521e+000
3.375442323606608e-002	3.256930e+000
3.405442323606608e-002	3.420151e+000
3.435442323606609e-002	3.541920e+000
3.465442323606610e-002	3.621416e+000
3.495442323606611e-002	3.658308e+000
3.505442323606611e-002	3.661159e+000
3.515442323606612e-002	3.659321e+000
3.525442323606612e-002	3.652828e+000
3.545442323606612e-002	3.626064e+000
3.565442323606613e-002	3.581367e+000
3.585442323606614e-002	3.519491e+000
3.595442323606614e-002	3.482438e+000
3.605442323606614e-002	3.441540e+000
3.615442323606614e-002	3.397017e+000
3.625442323606615e-002	3.349134e+000
3.635442323606615e-002	3.298212e+000
3.645442323606615e-002	3.244629e+000
3.655442323606616e-002	3.188827e+000
3.665442323606616e-002	3.131303e+000
3.675442323606616e-002	3.072592e+000
3.685442323606616e-002	3.013235e+000
3.695442323606617e-002	2.953737e+000
3.705442323606617e-002	2.894539e+000
3.715442323606617e-002	2.835977e+000
3.725442323606618e-002	2.778287e+000
3.735442323606618e-002	2.721606e+000
3.745442323606618e-002	2.666004e+000
3.755442323606618e-002	2.611505e+000
