vi	V(si)	Ix(Zener2:+)
-3.940000000000023e+000	-3.825922e+000	-5.703890e-004
-3.930000000000023e+000	-3.824018e+000	-5.299090e-004
-3.920000000000023e+000	-3.821995e+000	-4.900278e-004
-3.910000000000023e+000	-3.819837e+000	-4.508143e-004
-3.900000000000023e+000	-3.817531e+000	-4.123484e-004
-3.890000000000024e+000	-3.815056e+000	-3.747225e-004
-3.880000000000024e+000	-3.812392e+000	-3.380442e-004
-3.870000000000024e+000	-3.809513e+000	-3.024380e-004
-3.860000000000024e+000	-3.806391e+000	-2.680486e-004
-3.850000000000025e+000	-3.802993e+000	-2.350422e-004
-3.840000000000025e+000	-3.799279e+000	-2.036088e-004
-3.830000000000025e+000	-3.795209e+000	-1.739607e-004
-3.820000000000025e+000	-3.790736e+000	-1.463297e-004
-3.810000000000025e+000	-3.785810e+000	-1.209568e-004
-3.800000000000026e+000	-3.780387e+000	-9.807557e-005
-3.790000000000026e+000	-3.774425e+000	-7.788522e-005
-3.780000000000026e+000	-3.767899e+000	-6.051649e-005
-3.770000000000026e+000	-3.760802e+000	-4.599658e-005
-3.760000000000026e+000	-3.753156e+000	-3.422529e-005
-3.750000000000027e+000	-3.745006e+000	-2.497486e-005
-3.740000000000027e+000	-3.736417e+000	-1.791812e-005
-3.730000000000027e+000	-3.727465e+000	-1.267615e-005
-3.720000000000027e+000	-3.718226e+000	-8.868797e-006
-3.710000000000028e+000	-3.708770e+000	-6.152858e-006
-3.700000000000028e+000	-3.699152e+000	-4.242140e-006
-3.690000000000028e+000	-3.689418e+000	-2.911687e-006
-3.680000000000028e+000	-3.679602e+000	-1.992161e-006
-3.670000000000028e+000	-3.669728e+000	-1.360001e-006
-3.660000000000029e+000	-3.659815e+000	-9.270117e-007
-3.650000000000029e+000	-3.649874e+000	-6.312058e-007
-3.640000000000029e+000	-3.639914e+000	-4.294781e-007
-3.630000000000029e+000	-3.629942e+000	-2.920759e-007
-3.620000000000029e+000	-3.619960e+000	-1.985655e-007
-3.610000000000030e+000	-3.609973e+000	-1.349623e-007
-3.600000000000030e+000	-3.599982e+000	-9.171805e-008
-3.590000000000030e+000	-3.589988e+000	-6.232367e-008
-3.580000000000030e+000	-3.579992e+000	-4.234707e-008
-3.570000000000031e+000	-3.569994e+000	-2.877251e-008
-3.560000000000031e+000	-3.559996e+000	-1.954904e-008
-3.550000000000031e+000	-3.549997e+000	-1.328236e-008
-3.540000000000031e+000	-3.539998e+000	-9.024755e-009
-3.530000000000031e+000	-3.529999e+000	-6.132204e-009
-3.520000000000032e+000	-3.519999e+000	-4.167081e-009
-3.510000000000032e+000	-3.510000e+000	-2.832044e-009
-3.500000000000032e+000	-3.500000e+000	-1.925073e-009
-3.490000000000032e+000	-3.490000e+000	-1.308914e-009
-3.480000000000032e+000	-3.480000e+000	-8.903213e-010
-3.470000000000033e+000	-3.470000e+000	-6.059473e-010
-3.460000000000033e+000	-3.460000e+000	-4.127549e-010
-3.450000000000033e+000	-3.450000e+000	-2.815066e-010
-3.440000000000033e+000	-3.440000e+000	-1.923402e-010
-3.430000000000034e+000	-3.430000e+000	-1.317620e-010
-3.420000000000034e+000	-3.420000e+000	-9.060518e-011
-3.410000000000034e+000	-3.410000e+000	-6.264219e-011
-3.400000000000034e+000	-3.400000e+000	-4.364241e-011
-3.390000000000034e+000	-3.390000e+000	-3.073176e-011
-3.380000000000035e+000	-3.380000e+000	-2.195775e-011
-3.370000000000035e+000	-3.370000e+000	-1.599394e-011
-3.360000000000035e+000	-3.360000e+000	-1.193924e-011
-3.350000000000035e+000	-3.350000e+000	-9.181485e-012
-3.340000000000035e+000	-3.340000e+000	-7.304808e-012
-3.330000000000036e+000	-3.330000e+000	-6.026686e-012
-3.320000000000036e+000	-3.320000e+000	-5.155191e-012
-3.310000000000036e+000	-3.310000e+000	-4.559938e-012
-3.300000000000036e+000	-3.300000e+000	-4.152348e-012
-3.290000000000037e+000	-3.290000e+000	-3.872246e-012
-3.280000000000037e+000	-3.280000e+000	-3.678753e-012
-3.270000000000037e+000	-3.270000e+000	-3.544099e-012
-3.260000000000037e+000	-3.260000e+000	-3.449415e-012
-3.250000000000037e+000	-3.250000e+000	-3.381885e-012
-3.240000000000038e+000	-3.240000e+000	-3.332802e-012
-3.230000000000038e+000	-3.230000e+000	-3.296251e-012
-3.220000000000038e+000	-3.220000e+000	-3.268214e-012
-3.210000000000038e+000	-3.210000e+000	-3.245961e-012
-3.200000000000038e+000	-3.200000e+000	-3.227636e-012
-3.190000000000039e+000	-3.190000e+000	-3.211981e-012
-3.180000000000039e+000	-3.180000e+000	-3.198139e-012
-3.170000000000039e+000	-3.170000e+000	-3.185530e-012
-3.160000000000039e+000	-3.160000e+000	-3.173756e-012
-3.150000000000039e+000	-3.150000e+000	-3.162552e-012
-3.140000000000040e+000	-3.140000e+000	-3.151734e-012
-3.130000000000040e+000	-3.130000e+000	-3.141178e-012
-3.120000000000040e+000	-3.120000e+000	-3.130800e-012
-3.110000000000040e+000	-3.110000e+000	-3.120544e-012
-3.100000000000041e+000	-3.100000e+000	-3.110369e-012
-3.090000000000041e+000	-3.090000e+000	-3.100251e-012
-3.080000000000041e+000	-3.080000e+000	-3.090170e-012
-3.070000000000041e+000	-3.070000e+000	-3.080116e-012
-3.060000000000041e+000	-3.060000e+000	-3.070079e-012
-3.050000000000042e+000	-3.050000e+000	-3.060054e-012
-3.040000000000042e+000	-3.040000e+000	-3.050036e-012
-3.030000000000042e+000	-3.030000e+000	-3.040025e-012
-3.020000000000042e+000	-3.020000e+000	-3.030017e-012
-3.010000000000042e+000	-3.010000e+000	-3.020011e-012
-3.000000000000043e+000	-3.000000e+000	-3.010008e-012
-2.990000000000043e+000	-2.990000e+000	-3.000005e-012
-2.980000000000043e+000	-2.980000e+000	-2.990004e-012
-2.970000000000043e+000	-2.970000e+000	-2.980003e-012
-2.960000000000044e+000	-2.960000e+000	-2.970002e-012
-2.950000000000044e+000	-2.950000e+000	-2.960001e-012
-2.940000000000044e+000	-2.940000e+000	-2.950001e-012
-2.930000000000044e+000	-2.930000e+000	-2.940000e-012
-2.920000000000044e+000	-2.920000e+000	-2.930000e-012
-2.910000000000045e+000	-2.910000e+000	-2.920000e-012
-2.900000000000045e+000	-2.900000e+000	-2.910000e-012
-2.890000000000045e+000	-2.890000e+000	-2.900000e-012
-2.880000000000045e+000	-2.880000e+000	-2.890000e-012
-2.870000000000045e+000	-2.870000e+000	-2.880000e-012
-2.860000000000046e+000	-2.860000e+000	-2.870000e-012
-2.850000000000046e+000	-2.850000e+000	-2.860000e-012
-2.840000000000046e+000	-2.840000e+000	-2.850000e-012
-2.830000000000046e+000	-2.830000e+000	-2.840000e-012
-2.820000000000047e+000	-2.820000e+000	-2.830000e-012
-2.810000000000047e+000	-2.810000e+000	-2.820000e-012
-2.800000000000047e+000	-2.800000e+000	-2.810000e-012
-2.790000000000047e+000	-2.790000e+000	-2.800000e-012
-2.780000000000047e+000	-2.780000e+000	-2.790000e-012
-2.770000000000048e+000	-2.770000e+000	-2.780000e-012
-2.760000000000048e+000	-2.760000e+000	-2.770000e-012
-2.750000000000048e+000	-2.750000e+000	-2.760000e-012
-2.740000000000048e+000	-2.740000e+000	-2.750000e-012
-2.730000000000048e+000	-2.730000e+000	-2.740000e-012
-2.720000000000049e+000	-2.720000e+000	-2.730000e-012
-2.710000000000049e+000	-2.710000e+000	-2.720000e-012
-2.700000000000049e+000	-2.700000e+000	-2.710000e-012
-2.690000000000049e+000	-2.690000e+000	-2.700000e-012
-2.680000000000050e+000	-2.680000e+000	-2.690000e-012
-2.670000000000050e+000	-2.670000e+000	-2.680000e-012
-2.660000000000050e+000	-2.660000e+000	-2.670000e-012
-2.650000000000050e+000	-2.650000e+000	-2.660000e-012
-2.640000000000050e+000	-2.640000e+000	-2.650000e-012
-2.630000000000051e+000	-2.630000e+000	-2.640000e-012
-2.620000000000051e+000	-2.620000e+000	-2.630000e-012
-2.610000000000051e+000	-2.610000e+000	-2.620000e-012
-2.600000000000051e+000	-2.600000e+000	-2.610000e-012
-2.590000000000051e+000	-2.590000e+000	-2.600000e-012
-2.580000000000052e+000	-2.580000e+000	-2.590000e-012
-2.570000000000052e+000	-2.570000e+000	-2.580000e-012
-2.560000000000052e+000	-2.560000e+000	-2.570000e-012
-2.550000000000052e+000	-2.550000e+000	-2.560000e-012
-2.540000000000052e+000	-2.540000e+000	-2.550000e-012
-2.530000000000053e+000	-2.530000e+000	-2.540000e-012
-2.520000000000053e+000	-2.520000e+000	-2.530000e-012
-2.510000000000053e+000	-2.510000e+000	-2.520000e-012
-2.500000000000053e+000	-2.500000e+000	-2.510000e-012
-2.490000000000054e+000	-2.490000e+000	-2.500000e-012
-2.480000000000054e+000	-2.480000e+000	-2.490000e-012
-2.470000000000054e+000	-2.470000e+000	-2.480000e-012
-2.460000000000054e+000	-2.460000e+000	-2.470000e-012
-2.450000000000054e+000	-2.450000e+000	-2.460000e-012
-2.440000000000055e+000	-2.440000e+000	-2.450000e-012
-2.430000000000055e+000	-2.430000e+000	-2.440000e-012
-2.420000000000055e+000	-2.420000e+000	-2.430000e-012
-2.410000000000055e+000	-2.410000e+000	-2.420000e-012
-2.400000000000055e+000	-2.400000e+000	-2.410000e-012
-2.390000000000056e+000	-2.390000e+000	-2.400000e-012
-2.380000000000056e+000	-2.380000e+000	-2.390000e-012
-2.370000000000056e+000	-2.370000e+000	-2.380000e-012
-2.360000000000056e+000	-2.360000e+000	-2.370000e-012
-2.350000000000057e+000	-2.350000e+000	-2.360000e-012
-2.340000000000057e+000	-2.340000e+000	-2.350000e-012
-2.330000000000057e+000	-2.330000e+000	-2.340000e-012
-2.320000000000057e+000	-2.320000e+000	-2.330000e-012
-2.310000000000057e+000	-2.310000e+000	-2.320000e-012
-2.300000000000058e+000	-2.300000e+000	-2.310000e-012
-2.290000000000058e+000	-2.290000e+000	-2.300000e-012
-2.280000000000058e+000	-2.280000e+000	-2.290000e-012
-2.270000000000058e+000	-2.270000e+000	-2.280000e-012
-2.260000000000058e+000	-2.260000e+000	-2.270000e-012
-2.250000000000059e+000	-2.250000e+000	-2.260000e-012
-2.240000000000059e+000	-2.240000e+000	-2.250000e-012
-2.230000000000059e+000	-2.230000e+000	-2.240000e-012
-2.220000000000059e+000	-2.220000e+000	-2.230000e-012
-2.210000000000060e+000	-2.210000e+000	-2.220000e-012
-2.200000000000060e+000	-2.200000e+000	-2.210000e-012
-2.190000000000060e+000	-2.190000e+000	-2.200000e-012
-2.180000000000060e+000	-2.180000e+000	-2.190000e-012
-2.170000000000060e+000	-2.170000e+000	-2.180000e-012
-2.160000000000061e+000	-2.160000e+000	-2.170000e-012
-2.150000000000061e+000	-2.150000e+000	-2.160000e-012
-2.140000000000061e+000	-2.140000e+000	-2.150000e-012
-2.130000000000061e+000	-2.130000e+000	-2.140000e-012
-2.120000000000061e+000	-2.120000e+000	-2.130000e-012
-2.110000000000062e+000	-2.110000e+000	-2.120000e-012
-2.100000000000062e+000	-2.100000e+000	-2.110000e-012
-2.090000000000062e+000	-2.090000e+000	-2.100000e-012
-2.080000000000062e+000	-2.080000e+000	-2.090000e-012
-2.070000000000063e+000	-2.070000e+000	-2.080000e-012
-2.060000000000063e+000	-2.060000e+000	-2.070000e-012
-2.050000000000063e+000	-2.050000e+000	-2.060000e-012
-2.040000000000063e+000	-2.040000e+000	-2.050000e-012
-2.030000000000063e+000	-2.030000e+000	-2.040000e-012
-2.020000000000064e+000	-2.020000e+000	-2.030000e-012
-2.010000000000064e+000	-2.010000e+000	-2.020000e-012
-2.000000000000064e+000	-2.000000e+000	-2.010000e-012
-1.990000000000064e+000	-1.990000e+000	-2.000000e-012
-1.980000000000064e+000	-1.980000e+000	-1.990000e-012
-1.970000000000064e+000	-1.970000e+000	-1.980000e-012
-1.960000000000064e+000	-1.960000e+000	-1.970000e-012
-1.950000000000064e+000	-1.950000e+000	-1.960000e-012
-1.940000000000064e+000	-1.940000e+000	-1.950000e-012
-1.930000000000064e+000	-1.930000e+000	-1.940000e-012
-1.920000000000064e+000	-1.920000e+000	-1.930000e-012
-1.910000000000064e+000	-1.910000e+000	-1.920000e-012
-1.900000000000064e+000	-1.900000e+000	-1.910000e-012
-1.890000000000064e+000	-1.890000e+000	-1.900000e-012
-1.880000000000064e+000	-1.880000e+000	-1.890000e-012
-1.870000000000064e+000	-1.870000e+000	-1.880000e-012
-1.860000000000064e+000	-1.860000e+000	-1.870000e-012
-1.850000000000064e+000	-1.850000e+000	-1.860000e-012
-1.840000000000064e+000	-1.840000e+000	-1.850000e-012
-1.830000000000064e+000	-1.830000e+000	-1.840000e-012
-1.820000000000064e+000	-1.820000e+000	-1.830000e-012
-1.810000000000064e+000	-1.810000e+000	-1.820000e-012
-1.800000000000064e+000	-1.800000e+000	-1.810000e-012
-1.790000000000064e+000	-1.790000e+000	-1.800000e-012
-1.780000000000064e+000	-1.780000e+000	-1.790000e-012
-1.770000000000064e+000	-1.770000e+000	-1.780000e-012
-1.760000000000064e+000	-1.760000e+000	-1.770000e-012
-1.750000000000064e+000	-1.750000e+000	-1.760000e-012
-1.740000000000064e+000	-1.740000e+000	-1.750000e-012
-1.730000000000064e+000	-1.730000e+000	-1.740000e-012
-1.720000000000064e+000	-1.720000e+000	-1.730000e-012
-1.710000000000064e+000	-1.710000e+000	-1.720000e-012
-1.700000000000064e+000	-1.700000e+000	-1.710000e-012
-1.690000000000064e+000	-1.690000e+000	-1.700000e-012
-1.680000000000064e+000	-1.680000e+000	-1.690000e-012
-1.670000000000064e+000	-1.670000e+000	-1.680000e-012
-1.660000000000064e+000	-1.660000e+000	-1.670000e-012
-1.650000000000064e+000	-1.650000e+000	-1.660000e-012
-1.640000000000064e+000	-1.640000e+000	-1.650000e-012
-1.630000000000064e+000	-1.630000e+000	-1.640000e-012
-1.620000000000064e+000	-1.620000e+000	-1.630000e-012
-1.610000000000064e+000	-1.610000e+000	-1.620000e-012
-1.600000000000064e+000	-1.600000e+000	-1.610000e-012
-1.590000000000064e+000	-1.590000e+000	-1.600000e-012
-1.580000000000064e+000	-1.580000e+000	-1.590000e-012
-1.570000000000064e+000	-1.570000e+000	-1.580000e-012
-1.560000000000064e+000	-1.560000e+000	-1.570000e-012
-1.550000000000064e+000	-1.550000e+000	-1.560000e-012
-1.540000000000064e+000	-1.540000e+000	-1.550000e-012
-1.530000000000064e+000	-1.530000e+000	-1.540000e-012
-1.520000000000064e+000	-1.520000e+000	-1.530000e-012
-1.510000000000064e+000	-1.510000e+000	-1.520000e-012
-1.500000000000064e+000	-1.500000e+000	-1.510000e-012
-1.490000000000064e+000	-1.490000e+000	-1.500000e-012
-1.480000000000064e+000	-1.480000e+000	-1.490000e-012
-1.470000000000064e+000	-1.470000e+000	-1.480000e-012
-1.460000000000064e+000	-1.460000e+000	-1.470000e-012
-1.450000000000064e+000	-1.450000e+000	-1.460000e-012
-1.440000000000064e+000	-1.440000e+000	-1.450000e-012
-1.430000000000063e+000	-1.430000e+000	-1.440000e-012
-1.420000000000063e+000	-1.420000e+000	-1.430000e-012
-1.410000000000063e+000	-1.410000e+000	-1.420000e-012
-1.400000000000063e+000	-1.400000e+000	-1.410000e-012
-1.390000000000063e+000	-1.390000e+000	-1.400000e-012
-1.380000000000063e+000	-1.380000e+000	-1.390000e-012
-1.370000000000063e+000	-1.370000e+000	-1.380000e-012
-1.360000000000063e+000	-1.360000e+000	-1.370000e-012
-1.350000000000063e+000	-1.350000e+000	-1.360000e-012
-1.340000000000063e+000	-1.340000e+000	-1.350000e-012
-1.330000000000063e+000	-1.330000e+000	-1.340000e-012
-1.320000000000063e+000	-1.320000e+000	-1.330000e-012
-1.310000000000063e+000	-1.310000e+000	-1.320000e-012
-1.300000000000063e+000	-1.300000e+000	-1.310000e-012
-1.290000000000063e+000	-1.290000e+000	-1.300000e-012
-1.280000000000063e+000	-1.280000e+000	-1.290000e-012
-1.270000000000063e+000	-1.270000e+000	-1.280000e-012
-1.260000000000063e+000	-1.260000e+000	-1.270000e-012
-1.250000000000063e+000	-1.250000e+000	-1.260000e-012
-1.240000000000063e+000	-1.240000e+000	-1.250000e-012
-1.230000000000063e+000	-1.230000e+000	-1.240000e-012
-1.220000000000063e+000	-1.220000e+000	-1.230000e-012
-1.210000000000063e+000	-1.210000e+000	-1.220000e-012
-1.200000000000063e+000	-1.200000e+000	-1.210000e-012
-1.190000000000063e+000	-1.190000e+000	-1.200000e-012
-1.180000000000063e+000	-1.180000e+000	-1.190000e-012
-1.170000000000063e+000	-1.170000e+000	-1.180000e-012
-1.160000000000063e+000	-1.160000e+000	-1.170000e-012
-1.150000000000063e+000	-1.150000e+000	-1.160000e-012
-1.140000000000063e+000	-1.140000e+000	-1.150000e-012
-1.130000000000063e+000	-1.130000e+000	-1.140000e-012
-1.120000000000063e+000	-1.120000e+000	-1.130000e-012
-1.110000000000063e+000	-1.110000e+000	-1.120000e-012
-1.100000000000063e+000	-1.100000e+000	-1.110000e-012
-1.090000000000063e+000	-1.090000e+000	-1.100000e-012
-1.080000000000063e+000	-1.080000e+000	-1.090000e-012
-1.070000000000063e+000	-1.070000e+000	-1.080000e-012
-1.060000000000063e+000	-1.060000e+000	-1.070000e-012
-1.050000000000063e+000	-1.050000e+000	-1.060000e-012
-1.040000000000063e+000	-1.040000e+000	-1.050000e-012
-1.030000000000063e+000	-1.030000e+000	-1.040000e-012
-1.020000000000063e+000	-1.020000e+000	-1.030000e-012
-1.010000000000063e+000	-1.010000e+000	-1.020000e-012
-1.000000000000063e+000	-1.000000e+000	-1.010000e-012
