vi	V(si)	Ix(Schottky2:+)
-3.950000000000022e+000	-3.949997e+000	-1.353257e-008
-3.940000000000023e+000	-3.939997e+000	-1.353168e-008
-3.930000000000023e+000	-3.929997e+000	-1.353080e-008
-3.920000000000023e+000	-3.919997e+000	-1.352992e-008
-3.910000000000023e+000	-3.909997e+000	-1.352903e-008
-3.900000000000023e+000	-3.899997e+000	-1.352815e-008
-3.890000000000024e+000	-3.889997e+000	-1.352726e-008
-3.880000000000024e+000	-3.879997e+000	-1.352638e-008
-3.870000000000024e+000	-3.869997e+000	-1.352550e-008
-3.860000000000024e+000	-3.859997e+000	-1.352461e-008
-3.850000000000025e+000	-3.849997e+000	-1.352372e-008
-3.840000000000025e+000	-3.839997e+000	-1.352284e-008
-3.830000000000025e+000	-3.829997e+000	-1.352195e-008
-3.820000000000025e+000	-3.819997e+000	-1.352107e-008
-3.810000000000025e+000	-3.809997e+000	-1.352018e-008
-3.800000000000026e+000	-3.799997e+000	-1.351929e-008
-3.790000000000026e+000	-3.789997e+000	-1.351841e-008
-3.780000000000026e+000	-3.779997e+000	-1.351752e-008
-3.770000000000026e+000	-3.769997e+000	-1.351663e-008
-3.760000000000026e+000	-3.759997e+000	-1.351574e-008
-3.750000000000027e+000	-3.749997e+000	-1.351486e-008
-3.740000000000027e+000	-3.739997e+000	-1.351397e-008
-3.730000000000027e+000	-3.729997e+000	-1.351308e-008
-3.720000000000027e+000	-3.719997e+000	-1.351220e-008
-3.710000000000028e+000	-3.709997e+000	-1.351131e-008
-3.700000000000028e+000	-3.699997e+000	-1.351042e-008
-3.690000000000028e+000	-3.689997e+000	-1.350953e-008
-3.680000000000028e+000	-3.679997e+000	-1.350864e-008
-3.670000000000028e+000	-3.669997e+000	-1.350775e-008
-3.660000000000029e+000	-3.659997e+000	-1.350686e-008
-3.650000000000029e+000	-3.649997e+000	-1.350597e-008
-3.640000000000029e+000	-3.639997e+000	-1.350508e-008
-3.630000000000029e+000	-3.629997e+000	-1.350419e-008
-3.620000000000029e+000	-3.619997e+000	-1.350330e-008
-3.610000000000030e+000	-3.609997e+000	-1.350241e-008
-3.600000000000030e+000	-3.599997e+000	-1.350152e-008
-3.590000000000030e+000	-3.589997e+000	-1.350063e-008
-3.580000000000030e+000	-3.579997e+000	-1.349974e-008
-3.570000000000031e+000	-3.569997e+000	-1.349885e-008
-3.560000000000031e+000	-3.559997e+000	-1.349795e-008
-3.550000000000031e+000	-3.549997e+000	-1.349706e-008
-3.540000000000031e+000	-3.539997e+000	-1.349617e-008
-3.530000000000031e+000	-3.529997e+000	-1.349528e-008
-3.520000000000032e+000	-3.519997e+000	-1.349438e-008
-3.510000000000032e+000	-3.509997e+000	-1.349349e-008
-3.500000000000032e+000	-3.499997e+000	-1.349260e-008
-3.490000000000032e+000	-3.489997e+000	-1.349170e-008
-3.480000000000032e+000	-3.479997e+000	-1.349081e-008
-3.470000000000033e+000	-3.469997e+000	-1.348991e-008
-3.460000000000033e+000	-3.459997e+000	-1.348902e-008
-3.450000000000033e+000	-3.449997e+000	-1.348813e-008
-3.440000000000033e+000	-3.439997e+000	-1.348723e-008
-3.430000000000034e+000	-3.429997e+000	-1.348634e-008
-3.420000000000034e+000	-3.419997e+000	-1.348544e-008
-3.410000000000034e+000	-3.409997e+000	-1.348455e-008
-3.400000000000034e+000	-3.399997e+000	-1.348365e-008
-3.390000000000034e+000	-3.389997e+000	-1.348275e-008
-3.380000000000035e+000	-3.379997e+000	-1.348186e-008
-3.370000000000035e+000	-3.369997e+000	-1.348096e-008
-3.360000000000035e+000	-3.359997e+000	-1.348006e-008
-3.350000000000035e+000	-3.349997e+000	-1.347916e-008
-3.340000000000035e+000	-3.339997e+000	-1.347827e-008
-3.330000000000036e+000	-3.329997e+000	-1.347737e-008
-3.320000000000036e+000	-3.319997e+000	-1.347647e-008
-3.310000000000036e+000	-3.309997e+000	-1.347557e-008
-3.300000000000036e+000	-3.299997e+000	-1.347468e-008
-3.290000000000037e+000	-3.289997e+000	-1.347378e-008
-3.280000000000037e+000	-3.279997e+000	-1.347288e-008
-3.270000000000037e+000	-3.269997e+000	-1.347198e-008
-3.260000000000037e+000	-3.259997e+000	-1.347108e-008
-3.250000000000037e+000	-3.249997e+000	-1.347018e-008
-3.240000000000038e+000	-3.239997e+000	-1.346928e-008
-3.230000000000038e+000	-3.229997e+000	-1.346838e-008
-3.220000000000038e+000	-3.219997e+000	-1.346748e-008
-3.210000000000038e+000	-3.209997e+000	-1.346658e-008
-3.200000000000038e+000	-3.199997e+000	-1.346568e-008
-3.190000000000039e+000	-3.189997e+000	-1.346478e-008
-3.180000000000039e+000	-3.179997e+000	-1.346387e-008
-3.170000000000039e+000	-3.169997e+000	-1.346297e-008
-3.160000000000039e+000	-3.159997e+000	-1.346207e-008
-3.150000000000039e+000	-3.149997e+000	-1.346117e-008
-3.140000000000040e+000	-3.139997e+000	-1.346026e-008
-3.130000000000040e+000	-3.129997e+000	-1.345936e-008
-3.120000000000040e+000	-3.119997e+000	-1.345846e-008
-3.110000000000040e+000	-3.109997e+000	-1.345755e-008
-3.100000000000041e+000	-3.099997e+000	-1.345665e-008
-3.090000000000041e+000	-3.089997e+000	-1.345574e-008
-3.080000000000041e+000	-3.079997e+000	-1.345484e-008
-3.070000000000041e+000	-3.069997e+000	-1.345393e-008
-3.060000000000041e+000	-3.059997e+000	-1.345303e-008
-3.050000000000042e+000	-3.049997e+000	-1.345212e-008
-3.040000000000042e+000	-3.039997e+000	-1.345122e-008
-3.030000000000042e+000	-3.029997e+000	-1.345031e-008
-3.020000000000042e+000	-3.019997e+000	-1.344940e-008
-3.010000000000042e+000	-3.009997e+000	-1.344850e-008
-3.000000000000043e+000	-2.999997e+000	-1.344759e-008
-2.990000000000043e+000	-2.989997e+000	-1.344668e-008
-2.980000000000043e+000	-2.979997e+000	-1.344577e-008
-2.970000000000043e+000	-2.969997e+000	-1.344487e-008
-2.960000000000044e+000	-2.959997e+000	-1.344396e-008
-2.950000000000044e+000	-2.949997e+000	-1.344305e-008
-2.940000000000044e+000	-2.939997e+000	-1.344214e-008
-2.930000000000044e+000	-2.929997e+000	-1.344123e-008
-2.920000000000044e+000	-2.919997e+000	-1.344032e-008
-2.910000000000045e+000	-2.909997e+000	-1.343941e-008
-2.900000000000045e+000	-2.899997e+000	-1.343850e-008
-2.890000000000045e+000	-2.889997e+000	-1.343759e-008
-2.880000000000045e+000	-2.879997e+000	-1.343667e-008
-2.870000000000045e+000	-2.869997e+000	-1.343576e-008
-2.860000000000046e+000	-2.859997e+000	-1.343485e-008
-2.850000000000046e+000	-2.849997e+000	-1.343394e-008
-2.840000000000046e+000	-2.839997e+000	-1.343303e-008
-2.830000000000046e+000	-2.829997e+000	-1.343211e-008
-2.820000000000047e+000	-2.819997e+000	-1.343120e-008
-2.810000000000047e+000	-2.809997e+000	-1.343029e-008
-2.800000000000047e+000	-2.799997e+000	-1.342937e-008
-2.790000000000047e+000	-2.789997e+000	-1.342846e-008
-2.780000000000047e+000	-2.779997e+000	-1.342755e-008
-2.770000000000048e+000	-2.769997e+000	-1.342663e-008
-2.760000000000048e+000	-2.759997e+000	-1.342571e-008
-2.750000000000048e+000	-2.749997e+000	-1.342480e-008
-2.740000000000048e+000	-2.739997e+000	-1.342388e-008
-2.730000000000048e+000	-2.729997e+000	-1.342297e-008
-2.720000000000049e+000	-2.719997e+000	-1.342205e-008
-2.710000000000049e+000	-2.709997e+000	-1.342113e-008
-2.700000000000049e+000	-2.699997e+000	-1.342021e-008
-2.690000000000049e+000	-2.689997e+000	-1.341930e-008
-2.680000000000050e+000	-2.679997e+000	-1.341838e-008
-2.670000000000050e+000	-2.669997e+000	-1.341746e-008
-2.660000000000050e+000	-2.659997e+000	-1.341654e-008
-2.650000000000050e+000	-2.649997e+000	-1.341562e-008
-2.640000000000050e+000	-2.639997e+000	-1.341470e-008
-2.630000000000051e+000	-2.629997e+000	-1.341378e-008
-2.620000000000051e+000	-2.619997e+000	-1.341286e-008
-2.610000000000051e+000	-2.609997e+000	-1.341194e-008
-2.600000000000051e+000	-2.599997e+000	-1.341102e-008
-2.590000000000051e+000	-2.589997e+000	-1.341010e-008
-2.580000000000052e+000	-2.579997e+000	-1.340917e-008
-2.570000000000052e+000	-2.569997e+000	-1.340825e-008
-2.560000000000052e+000	-2.559997e+000	-1.340733e-008
-2.550000000000052e+000	-2.549997e+000	-1.340640e-008
-2.540000000000052e+000	-2.539997e+000	-1.340548e-008
-2.530000000000053e+000	-2.529997e+000	-1.340456e-008
-2.520000000000053e+000	-2.519997e+000	-1.340363e-008
-2.510000000000053e+000	-2.509997e+000	-1.340271e-008
-2.500000000000053e+000	-2.499997e+000	-1.340178e-008
-2.490000000000054e+000	-2.489997e+000	-1.340086e-008
-2.480000000000054e+000	-2.479997e+000	-1.339993e-008
-2.470000000000054e+000	-2.469997e+000	-1.339900e-008
-2.460000000000054e+000	-2.459997e+000	-1.339807e-008
-2.450000000000054e+000	-2.449997e+000	-1.339715e-008
-2.440000000000055e+000	-2.439997e+000	-1.339622e-008
-2.430000000000055e+000	-2.429997e+000	-1.339529e-008
-2.420000000000055e+000	-2.419997e+000	-1.339436e-008
-2.410000000000055e+000	-2.409997e+000	-1.339343e-008
-2.400000000000055e+000	-2.399997e+000	-1.339250e-008
-2.390000000000056e+000	-2.389997e+000	-1.339157e-008
-2.380000000000056e+000	-2.379997e+000	-1.339064e-008
-2.370000000000056e+000	-2.369997e+000	-1.338971e-008
-2.360000000000056e+000	-2.359997e+000	-1.338878e-008
-2.350000000000057e+000	-2.349997e+000	-1.338785e-008
-2.340000000000057e+000	-2.339997e+000	-1.338691e-008
-2.330000000000057e+000	-2.329997e+000	-1.338598e-008
-2.320000000000057e+000	-2.319997e+000	-1.338505e-008
-2.310000000000057e+000	-2.309997e+000	-1.338411e-008
-2.300000000000058e+000	-2.299997e+000	-1.338318e-008
-2.290000000000058e+000	-2.289997e+000	-1.338224e-008
-2.280000000000058e+000	-2.279997e+000	-1.338131e-008
-2.270000000000058e+000	-2.269997e+000	-1.338037e-008
-2.260000000000058e+000	-2.259997e+000	-1.337943e-008
-2.250000000000059e+000	-2.249997e+000	-1.337850e-008
-2.240000000000059e+000	-2.239997e+000	-1.337756e-008
-2.230000000000059e+000	-2.229997e+000	-1.337662e-008
-2.220000000000059e+000	-2.219997e+000	-1.337569e-008
-2.210000000000060e+000	-2.209997e+000	-1.337474e-008
-2.200000000000060e+000	-2.199997e+000	-1.337381e-008
-2.190000000000060e+000	-2.189997e+000	-1.337287e-008
-2.180000000000060e+000	-2.179997e+000	-1.337193e-008
-2.170000000000060e+000	-2.169997e+000	-1.337098e-008
-2.160000000000061e+000	-2.159997e+000	-1.337004e-008
-2.150000000000061e+000	-2.149997e+000	-1.336910e-008
-2.140000000000061e+000	-2.139997e+000	-1.336816e-008
-2.130000000000061e+000	-2.129997e+000	-1.336721e-008
-2.120000000000061e+000	-2.119997e+000	-1.336627e-008
-2.110000000000062e+000	-2.109997e+000	-1.336533e-008
-2.100000000000062e+000	-2.099997e+000	-1.336438e-008
-2.090000000000062e+000	-2.089997e+000	-1.336344e-008
-2.080000000000062e+000	-2.079997e+000	-1.336249e-008
-2.070000000000063e+000	-2.069997e+000	-1.336154e-008
-2.060000000000063e+000	-2.059997e+000	-1.336060e-008
-2.050000000000063e+000	-2.049997e+000	-1.335965e-008
-2.040000000000063e+000	-2.039997e+000	-1.335870e-008
-2.030000000000063e+000	-2.029997e+000	-1.335775e-008
-2.020000000000064e+000	-2.019997e+000	-1.335680e-008
-2.010000000000064e+000	-2.009997e+000	-1.335586e-008
-2.000000000000064e+000	-1.999997e+000	-1.335490e-008
