time	V(v)
0.000000000000000e+000	0.000000e+000
3.310719962930307e-004	2.813526e-006
4.310719962930307e-004	5.648316e-005
5.310719962930306e-004	1.052171e-003
6.310719962930307e-004	1.144660e-002
7.310719962930307e-004	5.185904e-002
8.310719962930308e-004	1.345838e-001
9.310719962930308e-004	2.476821e-001
1.031071996293031e-003	3.740228e-001
1.231071996293031e-003	6.395290e-001
1.359643424864460e-003	8.142198e-001
1.488214853435888e-003	9.860514e-001
1.616786282007317e-003	1.155024e+000
1.745357710578746e-003	1.321137e+000
1.873929139150174e-003	1.484391e+000
2.002500567721603e-003	1.644786e+000
2.131071996293031e-003	1.802321e+000
2.431071996293031e-003	2.148324e+000
2.731071996293030e-003	2.465608e+000
3.031071996293030e-003	2.750793e+000
3.331071996293029e-003	3.000991e+000
3.631071996293029e-003	3.213742e+000
3.931071996293029e-003	3.386992e+000
4.231071996293029e-003	3.519089e+000
4.531071996293030e-003	3.608782e+000
4.831071996293031e-003	3.655228e+000
5.131071996293032e-003	3.657989e+000
5.431071996293032e-003	3.617041e+000
5.731071996293033e-003	3.532766e+000
6.031071996293034e-003	3.405960e+000
6.331071996293035e-003	3.237820e+000
6.631071996293036e-003	3.029949e+000
6.931071996293036e-003	2.784349e+000
7.231071996293037e-003	2.503428e+000
7.531071996293038e-003	2.190020e+000
7.831071996293038e-003	1.847435e+000
8.131071996293036e-003	1.479608e+000
8.431071996293034e-003	1.091506e+000
8.502500567721606e-003	9.961803e-001
8.573929139150177e-003	9.008189e-001
8.645357710578748e-003	8.054219e-001
8.716786282007318e-003	7.099895e-001
8.788214853435889e-003	6.145215e-001
8.859643424864460e-003	5.190180e-001
8.931071996293031e-003	4.234790e-001
9.031071996293031e-003	2.944672e-001
9.131071996293030e-003	1.748842e-001
9.231071996293029e-003	7.846130e-002
9.331071996293029e-003	2.197760e-002
9.431071996293028e-003	2.897504e-003
9.531071996293028e-003	1.740688e-004
9.631071996293027e-003	8.780597e-006
9.731071996293026e-003	4.323769e-007
9.816786282007311e-003	-1.796322e-007
9.902500567721597e-003	-4.742503e-007
9.988214853435882e-003	-4.514772e-007
1.007392913915017e-002	-1.113131e-007
1.015964342486445e-002	5.462422e-007
1.024535771057874e-002	1.521189e-006
1.033107199629302e-002	2.813526e-006
1.043107199629302e-002	5.648316e-005
1.053107199629302e-002	1.052171e-003
1.063107199629302e-002	1.144660e-002
1.073107199629302e-002	5.185904e-002
1.083107199629302e-002	1.345838e-001
1.093107199629302e-002	2.476821e-001
1.103107199629302e-002	3.740228e-001
1.123107199629302e-002	6.395290e-001
1.135964342486445e-002	8.142198e-001
1.148821485343587e-002	9.860514e-001
1.161678628200730e-002	1.155024e+000
1.174535771057873e-002	1.321137e+000
1.187392913915016e-002	1.484391e+000
1.200250056772158e-002	1.644786e+000
1.213107199629301e-002	1.802321e+000
1.243107199629301e-002	2.148324e+000
1.273107199629301e-002	2.465608e+000
1.303107199629301e-002	2.750793e+000
1.333107199629301e-002	3.000991e+000
1.363107199629300e-002	3.213742e+000
1.393107199629300e-002	3.386992e+000
1.423107199629300e-002	3.519089e+000
1.453107199629300e-002	3.608782e+000
1.483107199629300e-002	3.655228e+000
1.513107199629299e-002	3.657989e+000
1.543107199629299e-002	3.617041e+000
1.573107199629299e-002	3.532766e+000
1.603107199629299e-002	3.405960e+000
1.633107199629299e-002	3.237820e+000
1.663107199629299e-002	3.029949e+000
1.693107199629299e-002	2.784349e+000
1.723107199629298e-002	2.503428e+000
1.753107199629298e-002	2.190020e+000
1.783107199629298e-002	1.847435e+000
1.813107199629298e-002	1.479608e+000
1.843107199629298e-002	1.091506e+000
1.850250056772155e-002	9.961803e-001
1.857392913915012e-002	9.008189e-001
1.864535771057869e-002	8.054219e-001
1.871678628200726e-002	7.099895e-001
1.878821485343583e-002	6.145215e-001
1.885964342486440e-002	5.190180e-001
1.893107199629297e-002	4.234790e-001
1.903107199629297e-002	2.944672e-001
1.913107199629297e-002	1.748842e-001
1.923107199629297e-002	7.846130e-002
1.933107199629297e-002	2.197760e-002
1.943107199629297e-002	2.897504e-003
1.953107199629297e-002	1.740688e-004
1.963107199629297e-002	8.780597e-006
1.973107199629297e-002	4.323769e-007
1.981678628200725e-002	-1.796322e-007
1.990250056772154e-002	-4.742503e-007
1.998821485343582e-002	-4.514772e-007
2.007392913915011e-002	-1.113131e-007
2.015964342486440e-002	5.462422e-007
2.024535771057868e-002	1.521189e-006
2.033107199629296e-002	2.813526e-006
2.043107199629296e-002	5.648316e-005
2.053107199629296e-002	1.052171e-003
2.063107199629296e-002	1.144660e-002
