vi	I(D)
Step Information: Temp=0  (Run: 1/6)
9.700000000000006e-001	2.867927e-003
9.800000000000007e-001	2.955086e-003
9.900000000000007e-001	3.042559e-003
1.000000000000001e+000	3.130332e-003
1.010000000000001e+000	3.218391e-003
1.020000000000001e+000	3.306723e-003
1.030000000000001e+000	3.395317e-003
1.040000000000001e+000	3.484160e-003
1.050000000000001e+000	3.573243e-003
1.060000000000001e+000	3.662555e-003
1.070000000000001e+000	3.752086e-003
1.080000000000001e+000	3.841829e-003
1.090000000000001e+000	3.931775e-003
1.100000000000001e+000	4.021915e-003
1.110000000000001e+000	4.112242e-003
1.120000000000001e+000	4.202751e-003
1.130000000000001e+000	4.293432e-003
1.140000000000001e+000	4.384281e-003
1.150000000000001e+000	4.475291e-003
1.160000000000001e+000	4.566457e-003
1.170000000000001e+000	4.657773e-003
1.180000000000001e+000	4.749234e-003
1.190000000000001e+000	4.840835e-003
1.200000000000001e+000	4.932572e-003
1.210000000000001e+000	5.024441e-003
1.220000000000001e+000	5.116436e-003
1.230000000000001e+000	5.208554e-003
1.240000000000001e+000	5.300791e-003
1.250000000000001e+000	5.393143e-003
1.260000000000001e+000	5.485607e-003
1.270000000000001e+000	5.578180e-003
1.280000000000001e+000	5.670859e-003
1.290000000000001e+000	5.763639e-003
1.300000000000001e+000	5.856519e-003
1.310000000000001e+000	5.949495e-003
1.320000000000001e+000	6.042566e-003
1.330000000000001e+000	6.135727e-003
1.340000000000001e+000	6.228977e-003
1.350000000000001e+000	6.322313e-003
1.360000000000001e+000	6.415734e-003
1.370000000000001e+000	6.509236e-003
1.380000000000001e+000	6.602818e-003
1.390000000000001e+000	6.696477e-003
1.400000000000001e+000	6.790212e-003
1.410000000000001e+000	6.884021e-003
1.420000000000001e+000	6.977902e-003
1.430000000000001e+000	7.071853e-003
1.440000000000001e+000	7.165872e-003
1.450000000000001e+000	7.259958e-003
1.460000000000001e+000	7.354110e-003
1.470000000000001e+000	7.448325e-003
1.480000000000001e+000	7.542602e-003
1.490000000000001e+000	7.636941e-003
1.500000000000001e+000	7.731338e-003
1.510000000000001e+000	7.825794e-003
1.520000000000001e+000	7.920306e-003
1.530000000000001e+000	8.014875e-003
1.540000000000001e+000	8.109497e-003
1.550000000000001e+000	8.204172e-003
1.560000000000001e+000	8.298900e-003
1.570000000000001e+000	8.393679e-003
1.580000000000001e+000	8.488507e-003
1.590000000000001e+000	8.583385e-003
1.600000000000001e+000	8.678310e-003
1.610000000000001e+000	8.773282e-003
1.620000000000001e+000	8.868299e-003
1.630000000000001e+000	8.963363e-003
1.640000000000001e+000	9.058470e-003
1.650000000000001e+000	9.153620e-003
1.660000000000001e+000	9.248814e-003
1.670000000000001e+000	9.344048e-003
1.680000000000001e+000	9.439323e-003
1.690000000000001e+000	9.534638e-003
1.700000000000001e+000	9.629993e-003
1.710000000000001e+000	9.725386e-003
1.720000000000001e+000	9.820817e-003
1.730000000000001e+000	9.916285e-003
1.740000000000001e+000	1.001179e-002
1.750000000000001e+000	1.010733e-002
1.760000000000001e+000	1.020291e-002
1.770000000000001e+000	1.029852e-002
1.780000000000001e+000	1.039416e-002
1.790000000000001e+000	1.048984e-002
1.800000000000001e+000	1.058555e-002
1.810000000000001e+000	1.068129e-002
1.820000000000001e+000	1.077707e-002
1.830000000000001e+000	1.087287e-002
1.840000000000001e+000	1.096871e-002
1.850000000000001e+000	1.106458e-002
1.860000000000001e+000	1.116047e-002
1.870000000000001e+000	1.125640e-002
1.880000000000001e+000	1.135235e-002
1.890000000000002e+000	1.144834e-002
1.900000000000002e+000	1.154435e-002
1.910000000000002e+000	1.164039e-002
1.920000000000002e+000	1.173645e-002
1.930000000000002e+000	1.183254e-002
1.940000000000002e+000	1.192866e-002
1.950000000000002e+000	1.202480e-002
1.960000000000002e+000	1.212097e-002
1.970000000000002e+000	1.221716e-002
1.980000000000002e+000	1.231338e-002
1.990000000000002e+000	1.240963e-002
2.000000000000001e+000	1.250589e-002
2.010000000000001e+000	1.260218e-002
2.020000000000001e+000	1.269850e-002
2.030000000000001e+000	1.279483e-002
2.040000000000001e+000	1.289119e-002
2.050000000000000e+000	1.298757e-002
2.060000000000000e+000	1.308397e-002
2.070000000000000e+000	1.318040e-002
2.080000000000000e+000	1.327684e-002
2.089999999999999e+000	1.337331e-002
2.099999999999999e+000	1.346980e-002
2.109999999999999e+000	1.356631e-002
2.119999999999999e+000	1.366283e-002
2.129999999999999e+000	1.375938e-002
2.139999999999998e+000	1.385595e-002
2.149999999999998e+000	1.395253e-002
2.159999999999998e+000	1.404914e-002
2.169999999999998e+000	1.414577e-002
2.179999999999998e+000	1.424241e-002
2.189999999999997e+000	1.433907e-002
2.199999999999997e+000	1.443575e-002
2.209999999999997e+000	1.453245e-002
2.219999999999997e+000	1.462916e-002
2.229999999999996e+000	1.472590e-002
2.239999999999996e+000	1.482265e-002
2.249999999999996e+000	1.491941e-002
2.259999999999996e+000	1.501620e-002
2.269999999999996e+000	1.511300e-002
2.279999999999995e+000	1.520981e-002
2.289999999999995e+000	1.530665e-002
2.299999999999995e+000	1.540349e-002
2.309999999999995e+000	1.550036e-002
2.319999999999995e+000	1.559724e-002
2.329999999999994e+000	1.569414e-002
2.339999999999994e+000	1.579105e-002
2.349999999999994e+000	1.588797e-002
2.359999999999994e+000	1.598491e-002
2.369999999999993e+000	1.608187e-002
2.379999999999993e+000	1.617884e-002
2.389999999999993e+000	1.627582e-002
2.399999999999993e+000	1.637282e-002
2.409999999999993e+000	1.646983e-002
2.419999999999992e+000	1.656686e-002
2.429999999999992e+000	1.666390e-002
