vi	V(si)	I(Si)
-3.390000000000034e+000	-3.389999e+000	-2.523391e-009
-3.380000000000035e+000	-3.379999e+000	-2.523381e-009
-3.370000000000035e+000	-3.369999e+000	-2.523370e-009
-3.360000000000035e+000	-3.359999e+000	-2.523360e-009
-3.350000000000035e+000	-3.349999e+000	-2.523350e-009
-3.340000000000035e+000	-3.339999e+000	-2.523341e-009
-3.330000000000036e+000	-3.329999e+000	-2.523330e-009
-3.320000000000036e+000	-3.319999e+000	-2.523320e-009
-3.310000000000036e+000	-3.309999e+000	-2.523310e-009
-3.300000000000036e+000	-3.299999e+000	-2.523301e-009
-3.290000000000037e+000	-3.289999e+000	-2.523291e-009
-3.280000000000037e+000	-3.279999e+000	-2.523280e-009
-3.270000000000037e+000	-3.270000e+000	-2.523270e-009
-3.260000000000037e+000	-3.260000e+000	-2.523260e-009
-3.250000000000037e+000	-3.250000e+000	-2.523251e-009
-3.240000000000038e+000	-3.240000e+000	-2.523241e-009
-3.230000000000038e+000	-3.230000e+000	-2.523231e-009
-3.220000000000038e+000	-3.220000e+000	-2.523220e-009
-3.210000000000038e+000	-3.210000e+000	-2.523210e-009
-3.200000000000038e+000	-3.200000e+000	-2.523201e-009
-3.190000000000039e+000	-3.190000e+000	-2.523191e-009
-3.180000000000039e+000	-3.180000e+000	-2.523180e-009
-3.170000000000039e+000	-3.170000e+000	-2.523170e-009
-3.160000000000039e+000	-3.160000e+000	-2.523160e-009
-3.150000000000039e+000	-3.149999e+000	-2.523151e-009
-3.140000000000040e+000	-3.139999e+000	-2.523141e-009
-3.130000000000040e+000	-3.129999e+000	-2.523130e-009
-3.120000000000040e+000	-3.119999e+000	-2.523120e-009
-3.110000000000040e+000	-3.109999e+000	-2.523110e-009
-3.100000000000041e+000	-3.099999e+000	-2.523101e-009
-3.090000000000041e+000	-3.089999e+000	-2.523090e-009
-3.080000000000041e+000	-3.079999e+000	-2.523080e-009
-3.070000000000041e+000	-3.069999e+000	-2.523070e-009
-3.060000000000041e+000	-3.059999e+000	-2.523061e-009
-3.050000000000042e+000	-3.049999e+000	-2.523051e-009
-3.040000000000042e+000	-3.039999e+000	-2.523040e-009
-3.030000000000042e+000	-3.029999e+000	-2.523030e-009
-3.020000000000042e+000	-3.020000e+000	-2.523020e-009
-3.010000000000042e+000	-3.010000e+000	-2.523011e-009
-3.000000000000043e+000	-3.000000e+000	-2.523001e-009
-2.990000000000043e+000	-2.990000e+000	-2.522990e-009
-2.980000000000043e+000	-2.980000e+000	-2.522980e-009
-2.970000000000043e+000	-2.970000e+000	-2.522970e-009
-2.960000000000044e+000	-2.960000e+000	-2.522961e-009
-2.950000000000044e+000	-2.950000e+000	-2.522951e-009
-2.940000000000044e+000	-2.940000e+000	-2.522940e-009
-2.930000000000044e+000	-2.930000e+000	-2.522930e-009
-2.920000000000044e+000	-2.920000e+000	-2.522920e-009
-2.910000000000045e+000	-2.910000e+000	-2.522911e-009
-2.900000000000045e+000	-2.899999e+000	-2.522901e-009
-2.890000000000045e+000	-2.889999e+000	-2.522890e-009
-2.880000000000045e+000	-2.879999e+000	-2.522880e-009
-2.870000000000045e+000	-2.869999e+000	-2.522870e-009
-2.860000000000046e+000	-2.859999e+000	-2.522861e-009
-2.850000000000046e+000	-2.849999e+000	-2.522850e-009
-2.840000000000046e+000	-2.839999e+000	-2.522840e-009
-2.830000000000046e+000	-2.829999e+000	-2.522830e-009
-2.820000000000047e+000	-2.819999e+000	-2.522820e-009
-2.810000000000047e+000	-2.809999e+000	-2.522811e-009
-2.800000000000047e+000	-2.799999e+000	-2.522800e-009
-2.790000000000047e+000	-2.789999e+000	-2.522790e-009
-2.780000000000047e+000	-2.779999e+000	-2.522780e-009
-2.770000000000048e+000	-2.770000e+000	-2.522771e-009
-2.760000000000048e+000	-2.760000e+000	-2.522761e-009
-2.750000000000048e+000	-2.750000e+000	-2.522750e-009
-2.740000000000048e+000	-2.740000e+000	-2.522740e-009
-2.730000000000048e+000	-2.730000e+000	-2.522730e-009
-2.720000000000049e+000	-2.720000e+000	-2.522721e-009
-2.710000000000049e+000	-2.710000e+000	-2.522710e-009
-2.700000000000049e+000	-2.700000e+000	-2.522700e-009
-2.690000000000049e+000	-2.690000e+000	-2.522690e-009
-2.680000000000050e+000	-2.680000e+000	-2.522680e-009
-2.670000000000050e+000	-2.670000e+000	-2.522671e-009
-2.660000000000050e+000	-2.660000e+000	-2.522661e-009
-2.650000000000050e+000	-2.649999e+000	-2.522650e-009
-2.640000000000050e+000	-2.639999e+000	-2.522640e-009
-2.630000000000051e+000	-2.629999e+000	-2.522630e-009
-2.620000000000051e+000	-2.619999e+000	-2.522621e-009
-2.610000000000051e+000	-2.609999e+000	-2.522610e-009
-2.600000000000051e+000	-2.599999e+000	-2.522600e-009
-2.590000000000051e+000	-2.589999e+000	-2.522590e-009
-2.580000000000052e+000	-2.579999e+000	-2.522580e-009
-2.570000000000052e+000	-2.569999e+000	-2.522571e-009
-2.560000000000052e+000	-2.559999e+000	-2.522560e-009
-2.550000000000052e+000	-2.549999e+000	-2.522550e-009
-2.540000000000052e+000	-2.539999e+000	-2.522540e-009
-2.530000000000053e+000	-2.529999e+000	-2.522531e-009
-2.520000000000053e+000	-2.520000e+000	-2.522521e-009
-2.510000000000053e+000	-2.510000e+000	-2.522510e-009
-2.500000000000053e+000	-2.500000e+000	-2.522500e-009
-2.490000000000054e+000	-2.490000e+000	-2.522490e-009
-2.480000000000054e+000	-2.480000e+000	-2.522481e-009
-2.470000000000054e+000	-2.470000e+000	-2.522470e-009
-2.460000000000054e+000	-2.460000e+000	-2.522460e-009
-2.450000000000054e+000	-2.450000e+000	-2.522450e-009
-2.440000000000055e+000	-2.440000e+000	-2.522440e-009
-2.430000000000055e+000	-2.430000e+000	-2.522431e-009
-2.420000000000055e+000	-2.420000e+000	-2.522420e-009
-2.410000000000055e+000	-2.410000e+000	-2.522410e-009
-2.400000000000055e+000	-2.399999e+000	-2.522400e-009
-2.390000000000056e+000	-2.389999e+000	-2.522390e-009
-2.380000000000056e+000	-2.379999e+000	-2.522381e-009
-2.370000000000056e+000	-2.369999e+000	-2.522370e-009
-2.360000000000056e+000	-2.359999e+000	-2.522360e-009
-2.350000000000057e+000	-2.349999e+000	-2.522350e-009
-2.340000000000057e+000	-2.339999e+000	-2.522340e-009
-2.330000000000057e+000	-2.329999e+000	-2.522331e-009
-2.320000000000057e+000	-2.319999e+000	-2.522320e-009
-2.310000000000057e+000	-2.309999e+000	-2.522310e-009
-2.300000000000058e+000	-2.299999e+000	-2.522300e-009
-2.290000000000058e+000	-2.289999e+000	-2.522290e-009
-2.280000000000058e+000	-2.279999e+000	-2.522281e-009
-2.270000000000058e+000	-2.270000e+000	-2.522270e-009
-2.260000000000058e+000	-2.260000e+000	-2.522260e-009
-2.250000000000059e+000	-2.250000e+000	-2.522250e-009
-2.240000000000059e+000	-2.240000e+000	-2.522241e-009
-2.230000000000059e+000	-2.230000e+000	-2.522230e-009
-2.220000000000059e+000	-2.220000e+000	-2.522220e-009
-2.210000000000060e+000	-2.210000e+000	-2.522210e-009
-2.200000000000060e+000	-2.200000e+000	-2.522200e-009
-2.190000000000060e+000	-2.190000e+000	-2.522191e-009
-2.180000000000060e+000	-2.180000e+000	-2.522180e-009
-2.170000000000060e+000	-2.170000e+000	-2.522170e-009
-2.160000000000061e+000	-2.160000e+000	-2.522160e-009
-2.150000000000061e+000	-2.149999e+000	-2.522150e-009
-2.140000000000061e+000	-2.139999e+000	-2.522140e-009
-2.130000000000061e+000	-2.129999e+000	-2.522130e-009
-2.120000000000061e+000	-2.119999e+000	-2.522120e-009
-2.110000000000062e+000	-2.109999e+000	-2.522110e-009
-2.100000000000062e+000	-2.099999e+000	-2.522100e-009
-2.090000000000062e+000	-2.089999e+000	-2.522091e-009
-2.080000000000062e+000	-2.079999e+000	-2.522080e-009
-2.070000000000063e+000	-2.069999e+000	-2.522070e-009
-2.060000000000063e+000	-2.059999e+000	-2.522060e-009
-2.050000000000063e+000	-2.049999e+000	-2.522050e-009
-2.040000000000063e+000	-2.039999e+000	-2.522041e-009
-2.030000000000063e+000	-2.029999e+000	-2.522030e-009
-2.020000000000064e+000	-2.020000e+000	-2.522020e-009
