time	V(vo)
2.905442323606601e-002	1.894741e+000
2.925442323606601e-002	1.818039e+000
2.955442323606601e-002	1.708768e+000
2.971156609320886e-002	1.654310e+000
2.986870895035172e-002	1.601462e+000
3.002585180749457e-002	1.550224e+000
3.018299466463743e-002	1.500596e+000
3.034013752178029e-002	1.452578e+000
3.049728037892314e-002	1.406169e+000
3.065442323606600e-002	1.361371e+000
3.075442323606600e-002	1.333531e+000
3.085442323606600e-002	1.306260e+000
3.095442323606600e-002	1.279547e+000
3.105442323606600e-002	1.253381e+000
3.115442323606600e-002	1.227749e+000
3.125442323606600e-002	1.202643e+000
3.135442323606600e-002	1.178070e+000
3.145442323606600e-002	1.154473e+000
3.155442323606601e-002	1.138160e+000
3.165442323606601e-002	1.152765e+000
3.175442323606601e-002	1.223521e+000
3.185442323606601e-002	1.339782e+000
3.195442323606602e-002	1.469067e+000
3.225442323606603e-002	1.841324e+000
3.255442323606603e-002	2.185127e+000
3.285442323606604e-002	2.497595e+000
3.315442323606605e-002	2.775999e+000
3.345442323606606e-002	3.017940e+000
3.375442323606607e-002	3.221368e+000
3.405442323606608e-002	3.384613e+000
3.435442323606609e-002	3.506415e+000
3.465442323606609e-002	3.585955e+000
3.495442323606610e-002	3.622907e+000
3.505442323606611e-002	3.625784e+000
3.515442323606611e-002	3.623975e+000
3.525442323606611e-002	3.617515e+000
3.545442323606612e-002	3.590832e+000
3.565442323606612e-002	3.546244e+000
3.585442323606613e-002	3.484518e+000
3.595442323606613e-002	3.447563e+000
3.605442323606613e-002	3.406782e+000
3.615442323606614e-002	3.362401e+000
3.625442323606614e-002	3.314690e+000
3.635442323606614e-002	3.263976e+000
3.645442323606615e-002	3.210645e+000
3.655442323606615e-002	3.155145e+000
3.665442323606615e-002	3.097981e+000
3.675442323606615e-002	3.039689e+000
3.685442323606616e-002	2.980806e+000
3.695442323606616e-002	2.921834e+000
3.705442323606616e-002	2.863199e+000
3.715442323606617e-002	2.805225e+000
3.725442323606617e-002	2.748135e+000
3.735442323606617e-002	2.692057e+000
3.745442323606617e-002	2.637053e+000
3.755442323606618e-002	2.583144e+000
3.765442323606618e-002	2.530325e+000
3.775442323606618e-002	2.478582e+000
3.785442323606619e-002	2.427896e+000
3.795442323606619e-002	2.378246e+000
3.805442323606619e-002	2.329611e+000
3.815442323606619e-002	2.281971e+000
3.825442323606620e-002	2.235304e+000
3.835442323606620e-002	2.189593e+000
3.845442323606620e-002	2.144816e+000
3.855442323606621e-002	2.100955e+000
3.865442323606621e-002	2.057990e+000
3.875442323606621e-002	2.015904e+000
3.885442323606621e-002	1.974679e+000
3.895442323606622e-002	1.934298e+000
3.905442323606622e-002	1.894741e+000
3.925442323606623e-002	1.818039e+000
3.955442323606623e-002	1.708768e+000
3.971156609320910e-002	1.654310e+000
3.986870895035196e-002	1.601462e+000
4.002585180749482e-002	1.550224e+000
4.018299466463768e-002	1.500596e+000
4.034013752178054e-002	1.452578e+000
4.049728037892340e-002	1.406169e+000
4.065442323606627e-002	1.361371e+000
4.075442323606627e-002	1.333531e+000
4.085442323606627e-002	1.306260e+000
4.095442323606627e-002	1.279547e+000
4.105442323606628e-002	1.253381e+000
4.115442323606628e-002	1.227749e+000
4.125442323606628e-002	1.202643e+000
4.135442323606629e-002	1.178070e+000
4.145442323606629e-002	1.154473e+000
4.155442323606629e-002	1.138160e+000
4.165442323606629e-002	1.152765e+000
4.175442323606630e-002	1.223521e+000
4.185442323606630e-002	1.339782e+000
4.195442323606630e-002	1.469067e+000
4.225442323606631e-002	1.841324e+000
4.255442323606632e-002	2.185127e+000
4.285442323606633e-002	2.497595e+000
4.315442323606634e-002	2.775999e+000
4.345442323606635e-002	3.017940e+000
4.375442323606636e-002	3.221368e+000
4.405442323606636e-002	3.384613e+000
4.435442323606637e-002	3.506415e+000
4.465442323606638e-002	3.585955e+000
4.495442323606639e-002	3.622907e+000
4.505442323606639e-002	3.625784e+000
4.515442323606640e-002	3.623975e+000
4.525442323606640e-002	3.617515e+000
4.545442323606640e-002	3.590832e+000
4.565442323606641e-002	3.546244e+000
4.585442323606642e-002	3.484518e+000
4.595442323606642e-002	3.447563e+000
4.605442323606642e-002	3.406782e+000
4.615442323606642e-002	3.362401e+000
4.625442323606643e-002	3.314690e+000
4.635442323606643e-002	3.263976e+000
4.645442323606643e-002	3.210645e+000
