#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-01-11 14:07:17.114
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
1.279451875,-3.02010356663873,-2.682725466707158
1.279464375,-2.95348895057109,-2.682725466707158
1.279476875,-2.890575146507174,-2.682725466707149
1.279489375,-2.820259718435758,-2.67895922742249
1.279501875,-2.7536451023681,-2.67895922742249
1.279514375,-2.687030486300442,-2.67895922742249
1.279526875,-2.620415870232785,-2.675192988137846
1.279539375,-2.550100442160179,-2.67519298813782
1.279551875,-2.483485826092545,-2.67519298813782
1.279564375,-2.420572022028661,-2.67519298813782
1.279576875,-2.353957405960998,-2.67519298813782
1.279589375,-2.283641977889582,-2.67519298813782
1.279601875,-2.220728173825676,-2.67519298813782
1.279614375,-2.150412745754284,-2.67519298813782
1.279626875,-2.080097317682867,-2.67519298813782
1.279639375,-2.013482701613971,-2.67519298813782
1.279651875,-1.943167273542555,-2.67519298813782
1.279664375,-1.872851845471181,-2.67519298813782
1.279676875,-1.806237229403523,-2.675192988137819
1.279689375,-1.739622613335865,-2.671426748853159
1.279701875,-1.673007997268208,-2.671426748853152
1.279714375,-1.598991757193063,-2.675192988137796
1.279726875,-1.532377141124177,-2.671426748853152
1.279739375,-1.465762525056469,-2.671426748853126
1.279751875,-1.391746284981344,-2.667660509568483
1.279764375,-1.328832480917454,-2.667660509568483
1.279776875,-1.254816240842279,-2.667660509568483
1.279789375,-1.188201624774618,-2.671426748853142
1.279801875,-1.114185384699463,-2.671426748853152
1.279814375,-1.047570768631769,-2.667660509568511
1.279826875,-0.977255340559132,-2.667660509568514
1.279839375,-0.9069399124877157,-2.67142674885313
1.279851875,-0.8366244844162859,-2.667660509568483
1.279864375,-0.7626082443411158,-2.667660509568483
1.279876875,-0.6922928162697315,-2.667660509568483
1.279889375,-0.6256782002020689,-2.667660509568483
1.279901875,-0.555362772130666,-2.667660509568483
1.279914375,-0.4850473440592498,-2.667660509568483
1.279926875,-0.4147319159865864,-2.667660509568483
1.279939375,-0.34441648791517,-2.667660509568483
1.279951875,-0.2741010598437537,-2.667660509568483
1.279964375,-0.2037856317723374,-2.667660509568481
1.279976875,-0.1334702037009211,-2.663894270283822
1.279989375,-0.05945396362578639,-2.663894270283815
1.280001875,0.003459840438162914,-2.667660509568457
1.280014375,0.07747608051326225,-2.663894270283849
1.280026875,0.132988260570867,-2.663894270283791
1.280039375,0.1996028766386155,-2.660128030998529
1.280051875,0.2884223647287919,-2.50947845961226
1.280064375,0.3587377928002082,-2.434153673919058
1.280076875,0.4290532208716246,-2.362595127510514
1.280089375,0.4993686489430089,-2.291036581102003
1.280101875,0.5696840770144252,-2.223244273978101
1.280114375,0.6399995050871172,-2.151685727568318
1.280126875,0.7140157451622317,-2.080127181159796
1.280139375,0.7769295492261776,-2.012334874035878
1.280151875,0.8546466013051014,-1.933243849058025
1.280164375,0.921261217372759,-1.865451541934143
1.280176875,0.9915766454441702,-1.79765923481026
1.280189375,1.061892073515554,-1.726100688401764
1.280201875,1.132207501586971,-1.654542141993221
1.280214375,1.206223741663376,-1.582983595583487
1.280226875,1.272838357731034,-1.522723767028839
1.280239375,1.339452973798708,-1.443632742051002
1.280251875,1.413469213873883,-1.375840434927119
1.280264375,1.4837846419453,-1.304281888518577
1.280276875,1.546698446009215,-1.236489581394686
1.280289375,1.617013874080598,-1.16493103498616
1.280301875,1.691030114156996,-1.097138727861112
1.280314375,1.761345542228391,-1.033112660021822
1.280326875,1.827960158296062,-0.9577878743286333
1.280339375,1.898275586367478,-0.8862293279200959
1.280351875,1.968591014438895,-0.8184370207962134
1.280364375,2.035205630506555,-0.7468784743876743
1.280376875,2.10552105857796,-0.6790861672637798
1.280389375,2.172135674645638,-0.6112938601398974
1.280401875,2.242451102718215,-0.5435015530148125
1.280414375,2.305364906782122,-0.4757092458909422
1.280426875,2.375680334853539,-0.4041506994824098
1.280439375,2.445995762924953,-0.3363583923585274
1.280451875,2.512610378992611,-0.268566085234645
1.280464375,2.579224995060268,-0.2045400173954158
1.280476875,2.645839611127926,-0.132981470986904
1.280489375,2.712454227196765,-0.06895540314646401
1.280501875,2.779068843264422,-0.00116309602255587
1.280514375,2.845683459332097,0.07039545038595246
