Time (s),Channel 1 (V),Channel 2 (V)
-9.950000000000001e-05,1.154412373610181,2.220918081931488
-9.948e-05,1.176617245632785,2.228450560500826
-9.946e-05,1.198822117655396,2.228450560500828
-9.944000000000001e-05,1.217326177674215,2.232216799785493
-9.942000000000001e-05,1.24693267370436,2.232216799785495
-9.94e-05,1.265436733723197,2.232216799785495
-9.938e-05,1.2876416057458,2.232216799785495
-9.936000000000001e-05,1.298744041757096,2.247281756924163
-9.934000000000001e-05,1.328350537787238,2.24728175692417
-9.932e-05,1.346854597806074,2.251047996208838
-9.93e-05,1.357957033817376,2.254814235493507
-9.928e-05,1.394965153855052,2.251047996208841
-9.926000000000001e-05,1.406067589866349,2.258580474778175
-9.924000000000001e-05,1.428272461888952,2.266112953347514
-9.922e-05,1.446776521907788,2.262346714062844
-9.92e-05,1.465280581926629,2.243515517639509
-9.918000000000001e-05,1.47638301793792,2.262346714062836
-9.916000000000001e-05,1.498587889960528,2.273645431916851
-9.914e-05,1.520792761983131,2.266112953347514
-9.912e-05,1.53929682200197,2.26987919263218
-9.910000000000001e-05,1.546698446009498,2.266112953347515
-9.908000000000001e-05,1.568903318032104,2.277411671201519
-9.906e-05,1.598509814062242,2.262346714062844
-9.904e-05,1.609612250073543,2.284944149770856
-9.902000000000001e-05,1.642919558107433,2.266112953347522
-9.900000000000001e-05,1.639218746103681,2.281177910486188
-9.898e-05,1.665124430130051,2.281177910486188
-9.896e-05,1.694730926160188,2.281177910486188
-9.894e-05,1.705833362171493,2.273645431916851
-9.892000000000001e-05,1.713234986179024,2.273645431916851
-9.890000000000001e-05,1.746542294212929,2.281177910486188
-9.888e-05,1.750243106216696,2.281177910486188
-9.886e-05,1.76874716623554,2.281177910486188
-9.884000000000001e-05,1.787251226254359,2.281177910486188
-9.882000000000001e-05,1.790952038258134,2.288710389055526
-9.88e-05,1.80945609827697,2.284944149770856
-9.878e-05,1.827960158295811,2.281177910486194
-9.876000000000001e-05,1.839062594307103,2.292476628340189
-9.874000000000001e-05,1.861267466329711,2.288710389055526
-9.872e-05,1.887173150356081,2.288710389055526
-9.87e-05,1.876070714344779,2.292476628340194
-9.868000000000001e-05,1.901976398371138,2.296242867624861
-9.866000000000001e-05,1.920480458389985,2.288710389055526
-9.864e-05,1.931582894401287,2.284944149770856
-9.862e-05,1.946386142416356,2.284944149770856
-9.86e-05,1.953787766423892,2.284944149770858
-9.858000000000001e-05,1.957488578427657,2.288710389055526
-9.856000000000001e-05,1.97969345045026,2.284944149770856
-9.854e-05,1.990795886461561,2.296242867624863
-9.852e-05,2.020402382491699,2.296242867624861
-9.850000000000001e-05,2.020402382491699,2.292476628340194
