Time (s),Vin,Inv1,Inv2,Inv3
-0.0009144999999999999,1,0,0,1
-0.000914,1,0,1,1
-0.0009135,1,0,1,1
-0.000913,1,0,1,1
-0.0009125,1,0,1,1
-0.0009120000000000001,1,0,1,1
-0.0009115,1,0,1,1
-0.000911,1,0,1,1
-0.0009105,1,0,1,0
-0.00091,1,0,1,0
-0.0009095,1,0,1,0
-0.000909,1,0,1,0
-0.0009085,1,0,1,0
-0.000908,1,0,1,0
-0.0009075,1,0,1,0
-0.000907,1,0,1,0
-0.0009065,1,0,1,0
-0.000906,1,0,1,0
-0.0009054999999999999,1,0,1,0
-0.000905,1,0,1,0
-0.0009045,1,0,1,0
-0.000904,1,0,1,0
-0.0009035,1,0,1,0
-0.000903,1,0,1,0
-0.0009025,1,0,1,0
-0.000902,1,0,1,0
-0.0009015,1,0,1,0
-0.000901,1,0,1,0
-0.0009005,1,0,1,0
-0.0009,1,0,1,0
-0.0008995,1,0,1,0
-0.000899,1,0,1,0
-0.0008985,1,0,1,0
-0.000898,1,0,1,0
-0.0008975,1,0,1,0
-0.000897,0,0,1,0
-0.0008965000000000001,0,0,1,0
-0.000896,0,0,1,0
-0.0008955,0,1,1,0
-0.000895,0,1,1,0
-0.0008945,0,1,1,0
-0.000894,0,1,1,0
-0.0008935,0,1,1,0
-0.000893,0,1,1,0
-0.0008925,0,1,1,0
-0.000892,0,1,1,0
-0.0008915,0,1,0,0
-0.000891,0,1,0,0
-0.0008905,0,1,0,0
-0.0008899999999999999,0,1,0,0
-0.0008895,0,1,0,0
-0.000889,0,1,0,0
-0.0008885,0,1,0,0
-0.000888,0,1,0,0
-0.0008875000000000001,0,1,0,0
-0.000887,0,1,0,0
-0.0008865,0,1,0,0
-0.000886,0,1,0,1
-0.0008855,0,1,0,1
-0.000885,0,1,0,1
-0.0008845,0,1,0,1
-0.000884,0,1,0,1
-0.0008835,0,1,0,1
-0.000883,0,1,0,1
-0.0008825,0,1,0,1
-0.000882,0,1,0,1
-0.0008815,0,1,0,1
-0.0008809999999999999,0,1,0,1
-0.0008805,0,1,0,1
-0.00088,0,1,0,1
-0.0008795,0,1,0,1
-0.000879,0,1,0,1
-0.0008785,0,1,0,1
-0.000878,0,1,0,1
-0.0008775,0,1,0,1
-0.000877,1,1,0,1
-0.0008765,1,0,0,1
-0.000876,1,0,0,1
-0.0008755,1,0,0,1
-0.000875,1,0,0,1
-0.0008745,1,0,0,1
-0.000874,1,0,1,1
-0.0008735,1,0,1,1
-0.000873,1,0,1,1
-0.0008725,1,0,1,1
-0.0008720000000000001,1,0,1,1
-0.0008715,1,0,1,1
-0.000871,1,0,1,1
-0.0008705,1,0,1,0
-0.00087,1,0,1,0
-0.0008695,1,0,1,0
-0.000869,1,0,1,0
-0.0008685,1,0,1,0
-0.000868,1,0,1,0
-0.0008675,1,0,1,0
-0.000867,1,0,1,0
-0.0008665,1,0,1,0
-0.000866,1,0,1,0
-0.0008654999999999999,1,0,1,0
-0.000865,1,0,1,0
-0.0008645,1,0,1,0
-0.000864,1,0,1,0
-0.0008635,1,0,1,0
-0.0008630000000000001,1,0,1,0
-0.0008625,1,0,1,0
-0.000862,1,0,1,0
-0.0008615,1,0,1,0
-0.000861,1,0,1,0
-0.0008605,1,0,1,0
-0.00086,1,0,1,0
-0.0008595,1,0,1,0
-0.000859,1,0,1,0
-0.0008585,1,0,1,0
-0.000858,1,0,1,0
-0.0008575,1,0,1,0
-0.000857,0,0,1,0
-0.0008564999999999999,0,0,1,0
-0.000856,0,0,1,0
-0.0008555,0,1,1,0
-0.000855,0,1,1,0
-0.0008545,0,1,1,0
