Freq.	V(vo)	V(n004)
7.16093949636775e+003	(-1.64804976772937e+001dB,-1.19915572906004e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.19399289127926e+003	(-1.64805134052012e+001dB,-1.20468941263557e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.22719885372967e+003	(-1.64805292785798e+001dB,-1.21024861951225e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.26055808793875e+003	(-1.64805452987746e+001dB,-1.21583346723582e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.29407130137678e+003	(-1.64805614671429e+001dB,-1.22144407389089e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.32773920477959e+003	(-1.64805777850547e+001dB,-1.22708055810340e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.36156251216363e+003	(-1.64805942538926e+001dB,-1.23274303904308e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.39554194084107e+003	(-1.64806108750519e+001dB,-1.23843163642587e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.42967821143507e+003	(-1.64806276499408e+001dB,-1.24414647051643e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.46397204789502e+003	(-1.64806445799806e+001dB,-1.24988766213057e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.49842417751191e+003	(-1.64806616666057e+001dB,-1.25565533263780e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.53303533093375e+003	(-1.64806789112638e+001dB,-1.26144960396377e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.56780624218108e+003	(-1.64806963154157e+001dB,-1.26727059859283e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.60273764866252e+003	(-1.64807138805361e+001dB,-1.27311843957051e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.63783029119040e+003	(-1.64807316081130e+001dB,-1.27899325050610e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.67308491399651e+003	(-1.64807494996483e+001dB,-1.28489515557513e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.70850226474784e+003	(-1.64807675566578e+001dB,-1.29082427952199e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
