vi	V(vd1)	V(vo)	I(Red)
-9.190000000000017e+000	-3.187003e-008	-1.347781e+001	-1.348781e-011
-9.180000000000018e+000	-3.186533e-008	-1.347781e+001	-1.348781e-011
-9.170000000000018e+000	-3.186064e-008	-1.347781e+001	-1.348781e-011
-9.160000000000018e+000	-3.185595e-008	-1.347781e+001	-1.348781e-011
-9.150000000000018e+000	-3.185126e-008	-1.347781e+001	-1.348781e-011
-9.140000000000018e+000	-3.184657e-008	-1.347780e+001	-1.348780e-011
-9.130000000000019e+000	-3.184188e-008	-1.347780e+001	-1.348780e-011
-9.120000000000019e+000	-3.183719e-008	-1.347780e+001	-1.348780e-011
-9.110000000000019e+000	-3.183250e-008	-1.347780e+001	-1.348780e-011
-9.100000000000019e+000	-3.182781e-008	-1.347780e+001	-1.348780e-011
-9.090000000000019e+000	-3.182312e-008	-1.347780e+001	-1.348780e-011
-9.080000000000020e+000	-3.181843e-008	-1.347780e+001	-1.348780e-011
-9.070000000000020e+000	-3.181373e-008	-1.347780e+001	-1.348780e-011
-9.060000000000020e+000	-3.180904e-008	-1.347779e+001	-1.348779e-011
-9.050000000000020e+000	-3.180435e-008	-1.347779e+001	-1.348779e-011
-9.040000000000021e+000	-3.179966e-008	-1.347779e+001	-1.348779e-011
-9.030000000000021e+000	-3.179497e-008	-1.347779e+001	-1.348779e-011
-9.020000000000021e+000	-3.179028e-008	-1.347779e+001	-1.348779e-011
-9.010000000000021e+000	-3.178559e-008	-1.347779e+001	-1.348779e-011
-9.000000000000021e+000	-3.178090e-008	-1.347779e+001	-1.348779e-011
-8.990000000000022e+000	-3.177621e-008	-1.347779e+001	-1.348779e-011
-8.980000000000022e+000	-3.177152e-008	-1.347778e+001	-1.348778e-011
-8.970000000000022e+000	-3.176683e-008	-1.347778e+001	-1.348778e-011
-8.960000000000022e+000	-3.176213e-008	-1.347778e+001	-1.348778e-011
-8.950000000000022e+000	-3.175744e-008	-1.347778e+001	-1.348778e-011
-8.940000000000023e+000	-3.175276e-008	-1.347778e+001	-1.348778e-011
-8.930000000000023e+000	-3.174806e-008	-1.347778e+001	-1.348778e-011
-8.920000000000023e+000	-3.174337e-008	-1.347778e+001	-1.348778e-011
-8.910000000000023e+000	-3.173868e-008	-1.347778e+001	-1.348778e-011
-8.900000000000023e+000	-3.173399e-008	-1.347777e+001	-1.348777e-011
-8.890000000000024e+000	-3.172930e-008	-1.347777e+001	-1.348777e-011
-8.880000000000024e+000	-3.172461e-008	-1.347777e+001	-1.348777e-011
-8.870000000000024e+000	-3.171992e-008	-1.347777e+001	-1.348777e-011
-8.860000000000024e+000	-3.171523e-008	-1.347777e+001	-1.348777e-011
-8.850000000000025e+000	-3.171054e-008	-1.347777e+001	-1.348777e-011
-8.840000000000025e+000	-3.170585e-008	-1.347777e+001	-1.348777e-011
-8.830000000000025e+000	-3.170116e-008	-1.347777e+001	-1.348777e-011
